Date,Time,Open,High,Low,Close,<TICKVOL>,Volume,<SPREAD>,Filename
2024-03-26,00:00:00,69855.07,70083.93,69847.88,70046.3,826,0,876,BTCUSD_M5_today.csv
2024-03-26,00:05:00,70046.83,70186.48,70039.25,70186.48,785,0,876,BTCUSD_M5_today.csv
2024-03-26,00:10:00,70186.05,70424.87,70169.16,70388.0,818,0,876,BTCUSD_M5_today.csv
2024-03-26,00:15:00,70387.22,70518.62,70306.71,70355.66,859,0,876,BTCUSD_M5_today.csv
2024-03-26,00:20:00,70354.27,70387.52,70288.66,70347.21,747,0,875,BTCUSD_M5_today.csv
2024-03-26,00:25:00,70347.73,70362.86,70295.33,70359.29,659,0,876,BTCUSD_M5_today.csv
2024-03-26,00:30:00,70359.28,70506.45,70316.25,70369.54,769,0,877,BTCUSD_M5_today.csv
2024-03-26,00:35:00,70368.82,70514.2,70360.62,70513.46,788,0,877,BTCUSD_M5_today.csv
2024-03-26,00:40:00,70513.48,70686.3,70439.39,70579.31,813,0,877,BTCUSD_M5_today.csv
2024-03-26,00:45:00,70578.98,70590.18,70373.86,70383.98,895,0,876,BTCUSD_M5_today.csv
2024-03-26,00:50:00,70383.04,70386.25,70244.92,70274.55,863,0,877,BTCUSD_M5_today.csv
2024-03-26,00:55:00,70273.94,70419.01,70254.28,70312.6,849,0,878,BTCUSD_M5_today.csv
2024-03-26,01:00:00,70313.82,70348.53,70265.26,70304.57,713,0,878,BTCUSD_M5_today.csv
2024-03-26,01:05:00,70304.57,70382.44,70285.55,70319.22,715,0,879,BTCUSD_M5_today.csv
2024-03-26,01:10:00,70320.16,70473.34,70317.14,70429.87,832,0,879,BTCUSD_M5_today.csv
2024-03-26,01:15:00,70430.18,70459.51,70327.26,70334.26,808,0,879,BTCUSD_M5_today.csv
2024-03-26,01:20:00,70334.32,70457.39,70279.28,70315.19,765,0,879,BTCUSD_M5_today.csv
2024-03-26,01:25:00,70316.36,70317.46,70134.95,70165.55,750,0,879,BTCUSD_M5_today.csv
