Date,Time,Open,High,Low,Close,Volume,<VOL>,<SPREAD>
2024-06-17,00:00:00,5502.0,5503.25,5497.25,5500.5,6453,14173,0
2024-06-17,04:00:00,5500.5,5509.25,5496.5,5504.75,13739,35586,0
2024-06-17,08:00:00,5504.5,5509.25,5493.0,5501.0,18662,51793,0
2024-06-17,12:00:00,5501.0,5515.0,5489.75,5511.75,89083,274834,0
2024-06-17,16:00:00,5511.5,5561.25,5511.25,5547.75,107656,290740,0
2024-06-17,20:00:00,5547.75,5554.0,5542.75,5552.0,11686,24919,0
2024-06-18,00:00:00,5552.0,5552.5,5541.75,5546.25,9684,18502,0
2024-06-18,04:00:00,5546.25,5549.75,5543.25,5543.75,8602,21072,0
2024-06-18,08:00:00,5543.5,5551.25,5541.5,5545.75,14824,37325,0
2024-06-18,12:00:00,5545.75,5558.5,5542.25,5554.0,110912,338638,0
2024-06-18,16:00:00,5554.25,5562.25,5546.5,5561.5,94971,316363,0
2024-06-18,20:00:00,5561.75,5567.0,5557.5,5564.5,8988,18968,0
2024-06-19,00:00:00,5564.5,5564.75,5560.25,5561.25,4538,8160,0
2024-06-19,04:00:00,5561.25,5565.5,5559.75,5563.75,6785,13878,0
2024-06-19,08:00:00,5563.75,5566.5,5561.75,5564.5,7583,16964,25
2024-06-19,12:00:00,5564.75,5566.5,5560.0,5563.25,11448,26877,0
2024-06-19,16:00:00,5563.25,5563.25,5561.25,5561.75,1337,2809,25
2024-06-19,20:00:00,5561.5,5564.0,5560.75,5563.0,2960,5030,25
2024-06-20,00:00:00,5563.0,5571.75,5562.75,5571.0,7660,13891,0
2024-06-20,04:00:00,5571.0,5587.75,5570.25,5580.75,15369,30396,0
2024-06-20,08:00:00,5580.5,5584.5,5577.5,5579.25,15814,35187,0
2024-06-20,12:00:00,5579.0,5581.25,5558.0,5558.0,138422,322294,0
2024-06-20,16:00:00,5558.0,5561.0,5525.5,5544.75,221767,586516,0
2024-06-20,20:00:00,5544.75,5548.0,5539.5,5546.75,12162,28344,0
2024-06-21,00:00:00,5546.75,5547.75,5540.5,5545.5,7152,11610,0
