Date,Time,Open,High,Low,Close,Volume,<VOL>,<SPREAD>
2024-06-17,00:00:00,5502.0,5503.25,5497.25,5500.0,4061,8758,0
2024-06-17,02:00:00,5500.0,5501.75,5498.5,5500.5,2392,5415,25
2024-06-17,04:00:00,5500.5,5503.0,5498.0,5502.0,2155,5075,0
2024-06-17,06:00:00,5502.25,5509.25,5496.5,5504.75,11584,30511,0
2024-06-17,08:00:00,5504.5,5509.25,5496.0,5499.5,9768,27805,0
2024-06-17,10:00:00,5499.5,5502.5,5493.0,5501.0,8894,23988,0
2024-06-17,12:00:00,5501.0,5503.25,5489.75,5494.75,34667,99488,0
2024-06-17,14:00:00,5495.0,5515.0,5492.75,5511.75,54416,175346,0
2024-06-17,16:00:00,5511.5,5551.5,5511.25,5550.5,49376,134788,0
2024-06-17,18:00:00,5550.5,5561.25,5544.25,5547.75,58280,155952,0
2024-06-17,20:00:00,5547.75,5548.0,5542.75,5547.25,6559,15673,0
2024-06-17,22:00:00,5547.25,5554.0,5545.5,5552.0,5127,9246,25
2024-06-18,00:00:00,5552.0,5552.5,5541.75,5543.5,6315,12592,0
2024-06-18,02:00:00,5543.25,5548.5,5543.25,5546.25,3369,5910,25
2024-06-18,04:00:00,5546.25,5548.0,5543.5,5548.0,2073,4009,0
2024-06-18,06:00:00,5548.0,5549.75,5543.25,5543.75,6529,17063,0
2024-06-18,08:00:00,5543.5,5551.25,5541.5,5548.25,7774,20590,0
2024-06-18,10:00:00,5548.0,5551.0,5544.25,5545.75,7050,16735,0
2024-06-18,12:00:00,5545.75,5558.5,5542.25,5551.75,49231,136337,0
2024-06-18,14:00:00,5552.0,5556.25,5543.5,5554.0,61681,202301,0
2024-06-18,16:00:00,5554.25,5562.25,5548.25,5557.0,40847,134453,0
2024-06-18,18:00:00,5557.25,5561.75,5546.5,5561.5,54124,181910,0
2024-06-18,20:00:00,5561.75,5562.75,5557.5,5562.25,5186,13391,0
2024-06-18,22:00:00,5561.0,5567.0,5560.0,5564.5,3802,5577,0
2024-06-19,00:00:00,5564.5,5564.75,5560.25,5561.0,2875,5192,25
2024-06-19,02:00:00,5561.25,5563.25,5560.25,5561.25,1663,2968,0
2024-06-19,04:00:00,5561.25,5563.75,5559.75,5563.0,1656,3066,0
2024-06-19,06:00:00,5563.0,5565.5,5560.75,5563.75,5129,10812,0
2024-06-19,08:00:00,5563.75,5565.5,5561.75,5564.25,4038,8887,25
2024-06-19,10:00:00,5564.25,5566.5,5563.0,5564.5,3545,8077,25
2024-06-19,12:00:00,5564.75,5566.5,5563.25,5563.75,5447,11072,0
2024-06-19,14:00:00,5563.75,5564.75,5560.0,5563.25,6001,15805,0
2024-06-19,16:00:00,5563.25,5563.25,5561.25,5561.75,1337,2809,25
2024-06-19,22:00:00,5561.5,5564.0,5560.75,5563.0,2960,5030,25
2024-06-20,00:00:00,5563.0,5568.75,5562.75,5567.5,3917,7008,0
2024-06-20,02:00:00,5567.25,5571.75,5565.25,5571.0,3743,6883,25
2024-06-20,04:00:00,5571.0,5578.75,5570.25,5577.5,5656,10747,0
2024-06-20,06:00:00,5577.5,5587.75,5575.0,5580.75,9713,19649,0
2024-06-20,08:00:00,5580.5,5583.0,5578.0,5582.0,7978,18270,0
2024-06-20,10:00:00,5582.25,5584.5,5577.5,5579.25,7836,16917,0
2024-06-20,12:00:00,5579.0,5581.25,5563.75,5571.5,50102,110575,0
2024-06-20,14:00:00,5571.25,5573.25,5558.0,5558.0,88320,211719,0
2024-06-20,16:00:00,5558.0,5561.0,5525.5,5544.25,116041,294673,0
2024-06-20,18:00:00,5544.25,5556.0,5531.5,5544.75,105726,291843,0
2024-06-20,20:00:00,5544.75,5546.0,5539.5,5544.25,8264,22039,0
2024-06-20,22:00:00,5544.0,5548.0,5543.0,5546.75,3898,6305,0
2024-06-21,00:00:00,5546.75,5547.75,5540.5,5543.0,4698,7570,0
2024-06-21,02:00:00,5543.0,5547.5,5542.5,5545.5,2454,4040,25
2024-06-21,04:00:00,5545.5,5549.75,5545.0,5549.0,2465,4532,25
2024-06-21,06:00:00,5549.0,5550.75,5534.25,5537.75,9624,17573,0
2024-06-21,08:00:00,5537.75,5539.75,5526.75,5536.25,14879,28009,0
2024-06-21,10:00:00,5536.5,5543.75,5531.25,5534.5,11434,21100,0
2024-06-21,12:00:00,5534.5,5543.5,5519.5,5528.0,70620,136363,0
2024-06-21,14:00:00,5527.75,5544.5,5526.75,5544.25,102439,207857,0
2024-06-21,16:00:00,5544.25,5545.75,5524.25,5528.25,60584,128380,0
2024-06-21,18:00:00,5528.5,5541.75,5526.25,5530.25,64515,142424,0
2024-06-21,20:00:00,5530.25,5539.0,5529.75,5536.75,7726,14623,25
2024-06-23,22:00:00,5538.25,5540.0,5536.25,5537.0,4214,6953,0
2024-06-24,00:00:00,5536.75,5538.25,5520.0,5526.0,11240,18986,0
2024-06-24,02:00:00,5526.0,5528.75,5523.5,5527.0,4620,7080,25
2024-06-24,04:00:00,5527.0,5534.5,5525.5,5533.75,3831,6712,25
2024-06-24,06:00:00,5534.0,5543.75,5533.25,5542.25,9382,17825,0
2024-06-24,08:00:00,5542.25,5546.0,5534.0,5537.0,9530,18117,25
2024-06-24,10:00:00,5537.0,5542.75,5535.75,5537.5,9525,17142,0
2024-06-24,12:00:00,5537.75,5547.0,5525.75,5545.25,56413,106614,0
2024-06-24,14:00:00,5545.25,5558.5,5535.5,5550.5,122593,266334,0
2024-06-24,16:00:00,5550.5,5551.5,5524.25,5528.25,74311,162603,0
2024-06-24,18:00:00,5528.25,5535.0,5514.75,5516.0,79285,175343,0
2024-06-24,20:00:00,5515.75,5517.5,5510.25,5515.5,13638,26421,0
2024-06-24,22:00:00,5515.75,5519.5,5515.25,5519.25,4211,6629,0
2024-06-25,00:00:00,5519.25,5519.5,5513.25,5518.75,4682,7389,25
2024-06-25,02:00:00,5518.75,5523.75,5518.25,5523.25,3725,6278,0
2024-06-25,04:00:00,5523.75,5525.75,5522.5,5524.0,2663,4861,25
2024-06-25,06:00:00,5524.0,5524.25,5512.5,5513.25,10417,18512,0
2024-06-25,08:00:00,5513.5,5527.75,5511.0,5527.25,10757,20113,25
2024-06-25,10:00:00,5527.25,5529.25,5521.75,5526.5,10264,19222,0
