Date,Time,Open,High,Low,Close,Volume,<VOL>,<SPREAD>
2024-06-17,00:00:00,5502.0,5503.25,5500.25,5501.0,2163,4651,0
2024-06-17,01:00:00,5500.75,5501.0,5497.25,5500.0,1898,4107,25
2024-06-17,02:00:00,5500.0,5501.75,5498.5,5499.25,1481,3367,25
2024-06-17,03:00:00,5499.5,5501.75,5499.25,5500.5,911,2048,25
2024-06-17,04:00:00,5500.5,5502.0,5498.5,5498.75,713,1554,0
2024-06-17,05:00:00,5499.0,5503.0,5498.0,5502.0,1442,3521,25
2024-06-17,06:00:00,5502.25,5505.0,5496.5,5503.5,4788,11585,0
2024-06-17,07:00:00,5503.5,5509.25,5502.25,5504.75,6796,18926,0
2024-06-17,08:00:00,5504.5,5509.25,5496.0,5498.75,6493,18588,0
2024-06-17,09:00:00,5498.25,5501.0,5497.25,5499.5,3275,9217,0
2024-06-17,10:00:00,5499.5,5500.25,5493.0,5497.5,4104,10833,0
2024-06-17,11:00:00,5497.5,5502.5,5497.25,5501.0,4790,13155,0
2024-06-17,12:00:00,5501.0,5503.25,5494.25,5497.25,8285,19846,0
2024-06-17,13:00:00,5497.0,5498.75,5489.75,5494.75,26382,79642,0
2024-06-17,14:00:00,5495.0,5504.5,5492.75,5503.75,31333,111780,0
2024-06-17,15:00:00,5504.0,5515.0,5503.75,5511.75,23083,63566,0
2024-06-17,16:00:00,5511.5,5534.5,5511.25,5529.5,25271,70502,0
2024-06-17,17:00:00,5529.5,5551.5,5529.5,5550.5,24105,64286,0
2024-06-17,18:00:00,5550.5,5561.25,5549.5,5554.25,27902,77158,0
2024-06-17,19:00:00,5554.0,5560.5,5544.25,5547.75,30378,78794,0
2024-06-17,20:00:00,5547.75,5548.0,5542.75,5547.25,6559,15673,0
2024-06-17,22:00:00,5547.25,5554.0,5545.5,5551.5,2989,5307,25
2024-06-17,23:00:00,5551.75,5553.75,5549.25,5552.0,2138,3939,25
