Date,Time,Open,High,Low,Close,Volume,<VOL>,<SPREAD>
2024-06-17,00:00:00,5502.0,5502.5,5500.25,5502.25,1317,2813,0
2024-06-17,00:30:00,5502.25,5503.25,5501.0,5501.0,846,1838,25
2024-06-17,01:00:00,5500.75,5501.0,5497.25,5497.75,1113,2358,25
2024-06-17,01:30:00,5498.0,5500.75,5498.0,5500.0,785,1749,25
2024-06-17,02:00:00,5500.0,5501.75,5498.5,5499.0,924,2089,25
2024-06-17,02:30:00,5499.0,5501.25,5498.75,5499.25,557,1278,25
2024-06-17,03:00:00,5499.5,5500.75,5499.25,5500.75,368,796,25
2024-06-17,03:30:00,5500.75,5501.75,5500.0,5500.5,543,1252,25
2024-06-17,04:00:00,5500.5,5502.0,5500.25,5500.25,312,666,25
2024-06-17,04:30:00,5500.25,5500.25,5498.5,5498.75,401,888,0
2024-06-17,05:00:00,5499.0,5500.5,5498.0,5500.5,488,1109,25
2024-06-17,05:30:00,5500.5,5503.0,5500.25,5502.0,954,2412,25
2024-06-17,06:00:00,5502.25,5502.5,5496.5,5501.25,2830,6962,0
2024-06-17,06:30:00,5501.25,5505.0,5500.75,5503.5,1958,4623,0
2024-06-17,07:00:00,5503.5,5509.0,5502.25,5507.25,4214,11648,0
2024-06-17,07:30:00,5507.25,5509.25,5503.5,5504.75,2582,7278,25
2024-06-17,08:00:00,5504.5,5509.25,5503.0,5503.75,2659,7416,25
2024-06-17,08:30:00,5503.75,5503.75,5496.0,5498.75,3834,11172,0
2024-06-17,09:00:00,5498.25,5501.0,5497.25,5499.75,1838,5324,0
2024-06-17,09:30:00,5499.75,5501.0,5499.25,5499.5,1437,3893,25
2024-06-17,10:00:00,5499.5,5500.25,5493.0,5493.5,2493,6679,0
2024-06-17,10:30:00,5493.5,5497.75,5493.5,5497.5,1611,4154,25
2024-06-17,11:00:00,5497.5,5502.5,5497.25,5502.0,2525,7167,0
2024-06-17,11:30:00,5502.25,5502.5,5499.0,5501.0,2265,5988,0
2024-06-17,12:00:00,5501.0,5503.25,5498.75,5499.75,3229,7243,0
2024-06-17,12:30:00,5499.75,5500.0,5494.25,5497.25,5056,12603,0
2024-06-17,13:00:00,5497.0,5497.75,5494.75,5495.0,3103,7176,25
2024-06-17,13:30:00,5495.0,5498.75,5489.75,5494.75,23279,72466,0
2024-06-17,14:00:00,5495.0,5503.0,5492.75,5497.25,18327,66656,0
2024-06-17,14:30:00,5497.5,5504.5,5496.25,5503.75,13006,45124,0
2024-06-17,15:00:00,5504.0,5515.0,5503.75,5513.0,14482,39994,0
2024-06-17,15:30:00,5513.25,5514.0,5509.5,5511.75,8601,23572,0
2024-06-17,16:00:00,5511.5,5529.5,5511.25,5529.25,12884,35643,0
2024-06-17,16:30:00,5529.5,5534.5,5526.75,5529.5,12387,34859,0
2024-06-17,17:00:00,5529.5,5541.25,5529.5,5539.25,10346,27529,0
2024-06-17,17:30:00,5539.5,5551.5,5538.75,5550.5,13759,36757,0
2024-06-17,18:00:00,5550.5,5561.25,5549.5,5556.5,18590,51104,0
2024-06-17,18:30:00,5556.75,5558.25,5551.0,5554.25,9312,26054,0
2024-06-17,19:00:00,5554.0,5560.5,5551.25,5559.5,10585,28522,0
2024-06-17,19:30:00,5559.5,5559.75,5544.25,5547.75,19793,50272,0
2024-06-17,20:00:00,5547.75,5548.0,5542.75,5547.75,5397,13188,0
2024-06-17,20:30:00,5547.5,5548.0,5546.0,5547.25,1162,2485,25
2024-06-17,22:00:00,5547.25,5554.0,5545.5,5552.75,2029,3615,25
2024-06-17,22:30:00,5552.75,5552.75,5550.75,5551.5,960,1692,25
2024-06-17,23:00:00,5551.75,5553.75,5549.25,5552.25,1433,2664,25
2024-06-17,23:30:00,5552.5,5553.75,5551.75,5552.0,705,1275,25
2024-06-18,00:00:00,5552.0,5552.5,5549.25,5549.25,1277,2500,25
2024-06-18,00:30:00,5549.25,5550.0,5546.75,5547.75,1913,4006,0
2024-06-18,01:00:00,5547.75,5547.75,5543.5,5545.25,1657,3227,0
2024-06-18,01:30:00,5545.25,5547.5,5541.75,5543.5,1468,2859,25
2024-06-18,02:00:00,5543.25,5546.25,5543.25,5545.5,794,1454,25
2024-06-18,02:30:00,5545.75,5546.5,5544.75,5546.25,548,974,25
2024-06-18,03:00:00,5546.0,5548.5,5545.5,5547.75,1052,1935,25
2024-06-18,03:30:00,5547.5,5547.75,5545.5,5546.25,975,1547,25
2024-06-18,04:00:00,5546.25,5547.0,5544.75,5545.0,509,985,25
2024-06-18,04:30:00,5544.75,5545.5,5543.75,5544.5,477,923,25
2024-06-18,05:00:00,5544.5,5546.5,5543.5,5546.25,568,1134,0
2024-06-18,05:30:00,5546.5,5548.0,5545.75,5548.0,519,967,25
2024-06-18,06:00:00,5548.0,5549.75,5547.0,5547.25,1300,2528,0
2024-06-18,06:30:00,5547.5,5549.25,5546.0,5547.5,1189,2844,0
2024-06-18,07:00:00,5547.5,5549.5,5545.25,5546.5,2083,6418,0
2024-06-18,07:30:00,5546.25,5548.75,5543.25,5543.75,1957,5273,25
2024-06-18,08:00:00,5543.5,5546.25,5541.5,5542.0,2125,5585,25
2024-06-18,08:30:00,5542.25,5548.0,5542.0,5545.75,2203,6024,0
2024-06-18,09:00:00,5545.75,5551.25,5545.75,5546.5,2172,5753,0
2024-06-18,09:30:00,5546.75,5549.75,5545.25,5548.25,1274,3228,0
2024-06-18,10:00:00,5548.0,5550.25,5544.75,5549.75,1545,3745,0
2024-06-18,10:30:00,5549.75,5551.0,5545.25,5546.0,1831,4582,0
2024-06-18,11:00:00,5546.0,5546.25,5544.25,5545.5,2138,4481,0
2024-06-18,11:30:00,5545.75,5546.5,5544.25,5545.75,1536,3927,0
2024-06-18,12:00:00,5545.75,5552.5,5545.5,5552.5,2828,6891,0
2024-06-18,12:30:00,5552.5,5554.0,5542.5,5545.5,11355,21661,0
2024-06-18,13:00:00,5545.5,5548.75,5542.25,5547.25,6604,15626,0
2024-06-18,13:30:00,5547.25,5558.5,5547.0,5551.75,28444,92159,0
2024-06-18,14:00:00,5552.0,5555.5,5548.0,5550.5,17817,59936,0
2024-06-18,14:30:00,5550.25,5556.25,5545.5,5547.5,18307,58545,0
2024-06-18,15:00:00,5547.5,5550.0,5543.5,5546.5,14149,45064,0
2024-06-18,15:30:00,5546.5,5554.5,5545.75,5554.0,11408,38756,0
2024-06-18,16:00:00,5554.25,5557.0,5549.5,5549.75,10957,33288,0
