Date,Time,Open,High,Low,Close,Volume,<VOL>,<SPREAD>
2024-06-17,00:00:00,5502.0,5502.5,5501.5,5502.25,255,577,25
2024-06-17,00:03:00,5502.5,5502.5,5501.5,5501.5,140,306,25
2024-06-17,00:06:00,5501.5,5502.0,5501.0,5501.5,151,395,25
2024-06-17,00:09:00,5501.5,5501.5,5500.25,5500.75,192,407,0
2024-06-17,00:12:00,5500.5,5501.0,5500.25,5501.0,72,123,25
2024-06-17,00:15:00,5501.25,5502.25,5501.25,5501.25,170,328,25
2024-06-17,00:18:00,5501.25,5501.75,5501.0,5501.75,58,101,25
2024-06-17,00:21:00,5501.75,5502.25,5501.75,5502.0,56,103,25
2024-06-17,00:24:00,5502.25,5502.25,5501.25,5502.0,105,204,25
2024-06-17,00:27:00,5502.25,5502.25,5501.75,5502.25,118,269,25
2024-06-17,00:30:00,5502.25,5503.0,5502.0,5502.25,71,144,25
2024-06-17,00:33:00,5502.25,5503.0,5502.0,5503.0,114,227,25
2024-06-17,00:36:00,5503.0,5503.25,5502.25,5502.5,64,118,25
2024-06-17,00:39:00,5502.5,5502.75,5501.75,5502.0,89,182,25
2024-06-17,00:42:00,5502.0,5502.0,5501.25,5501.5,69,141,25
2024-06-17,00:45:00,5501.5,5501.5,5501.0,5501.5,55,151,25
2024-06-17,00:48:00,5501.25,5501.5,5501.25,5501.25,88,206,25
2024-06-17,00:51:00,5501.25,5502.5,5501.25,5502.5,156,365,25
2024-06-17,00:54:00,5502.5,5502.5,5501.5,5501.75,52,119,25
2024-06-17,00:57:00,5501.75,5501.75,5501.0,5501.0,88,185,25
2024-06-17,01:00:00,5500.75,5501.0,5499.5,5499.5,197,448,25
2024-06-17,01:03:00,5499.5,5499.75,5498.5,5498.75,191,400,25
2024-06-17,01:06:00,5498.5,5498.75,5498.0,5498.5,125,244,25
2024-06-17,01:09:00,5498.75,5499.25,5498.5,5498.75,78,140,25
2024-06-17,01:12:00,5498.75,5499.0,5497.5,5497.75,124,261,25
2024-06-17,01:15:00,5497.5,5497.75,5497.25,5497.5,85,197,25
2024-06-17,01:18:00,5497.5,5498.5,5497.5,5498.25,108,238,25
2024-06-17,01:21:00,5498.25,5498.75,5498.25,5498.25,63,129,25
2024-06-17,01:24:00,5498.25,5498.25,5497.75,5497.75,62,121,25
2024-06-17,01:27:00,5497.75,5498.25,5497.5,5497.75,80,180,25
2024-06-17,01:30:00,5498.0,5499.25,5498.0,5499.0,65,118,25
2024-06-17,01:33:00,5499.0,5499.25,5498.75,5499.0,61,111,25
2024-06-17,01:36:00,5499.25,5500.0,5499.25,5499.75,106,214,25
2024-06-17,01:39:00,5499.75,5500.0,5499.25,5499.75,142,329,25
2024-06-17,01:42:00,5499.75,5499.75,5498.75,5498.75,62,131,25
2024-06-17,01:45:00,5499.25,5500.0,5499.25,5499.75,66,157,25
2024-06-17,01:48:00,5499.75,5500.0,5499.25,5500.0,59,132,25
2024-06-17,01:51:00,5499.75,5499.75,5499.25,5499.25,38,70,25
2024-06-17,01:54:00,5499.5,5500.0,5499.5,5500.0,80,188,25
2024-06-17,01:57:00,5499.75,5500.75,5499.75,5500.0,106,299,25
2024-06-17,02:00:00,5500.0,5501.75,5499.5,5501.5,194,448,25
2024-06-17,02:03:00,5501.25,5501.25,5500.5,5501.0,63,126,25
2024-06-17,02:06:00,5501.0,5501.25,5500.75,5500.75,44,93,25
2024-06-17,02:09:00,5500.75,5500.75,5500.5,5500.5,61,122,25
2024-06-17,02:12:00,5500.5,5501.25,5499.75,5501.25,146,353,25
2024-06-17,02:15:00,5501.25,5501.5,5500.5,5500.5,94,211,25
2024-06-17,02:18:00,5500.5,5501.0,5500.5,5501.0,59,163,25
2024-06-17,02:21:00,5500.5,5500.5,5500.0,5500.0,49,118,25
2024-06-17,02:24:00,5500.25,5500.25,5499.0,5499.25,135,308,25
2024-06-17,02:27:00,5499.0,5499.25,5498.5,5499.0,79,147,25
2024-06-17,02:30:00,5499.0,5499.5,5498.75,5499.25,45,86,25
2024-06-17,02:33:00,5499.25,5500.0,5499.25,5499.5,63,160,25
2024-06-17,02:36:00,5499.5,5501.25,5499.5,5501.0,152,387,25
2024-06-17,02:39:00,5500.75,5501.25,5500.5,5500.5,58,108,25
2024-06-17,02:42:00,5500.5,5500.75,5500.0,5500.5,66,149,25
2024-06-17,02:45:00,5500.5,5500.5,5500.25,5500.5,28,65,25
2024-06-17,02:48:00,5500.25,5500.5,5500.25,5500.25,26,55,25
2024-06-17,02:51:00,5500.0,5500.0,5499.0,5499.25,47,97,25
2024-06-17,02:54:00,5499.25,5500.0,5499.0,5499.0,25,51,25
2024-06-17,02:57:00,5499.0,5499.25,5499.0,5499.25,47,120,25
2024-06-17,03:00:00,5499.5,5499.75,5499.25,5499.25,42,105,25
2024-06-17,03:03:00,5499.5,5500.0,5499.25,5499.75,54,150,25
2024-06-17,03:06:00,5499.75,5500.5,5499.75,5500.25,43,96,25
2024-06-17,03:09:00,5500.25,5500.5,5499.75,5499.75,85,157,25
2024-06-17,03:12:00,5499.75,5500.0,5499.75,5500.0,19,31,25
2024-06-17,03:15:00,5500.0,5500.5,5500.0,5500.5,16,41,25
2024-06-17,03:18:00,5500.5,5500.5,5500.5,5500.5,19,43,25
2024-06-17,03:21:00,5500.5,5500.75,5500.25,5500.25,40,75,25
2024-06-17,03:24:00,5500.25,5500.5,5500.0,5500.25,26,45,25
2024-06-17,03:27:00,5500.25,5500.75,5500.25,5500.75,24,53,25
2024-06-17,03:30:00,5500.75,5501.5,5500.75,5501.0,119,293,25
2024-06-17,03:33:00,5501.0,5501.25,5500.0,5500.25,58,105,25
2024-06-17,03:36:00,5500.25,5500.75,5500.25,5500.5,23,49,25
2024-06-17,03:39:00,5500.5,5500.75,5500.0,5500.0,54,132,25
2024-06-17,03:42:00,5500.0,5500.75,5500.0,5500.5,62,167,25
2024-06-17,03:45:00,5500.5,5501.75,5500.5,5501.5,59,144,25
2024-06-17,03:48:00,5501.5,5501.5,5500.75,5501.0,56,124,25
2024-06-17,03:51:00,5500.75,5501.0,5500.25,5500.25,42,105,25
2024-06-17,03:54:00,5500.25,5500.75,5500.0,5500.75,56,107,25
2024-06-17,03:57:00,5500.75,5500.75,5500.25,5500.5,14,26,25
2024-06-17,04:00:00,5500.5,5500.75,5500.5,5500.75,30,52,25
2024-06-17,04:03:00,5501.0,5502.0,5500.75,5501.5,91,224,25
2024-06-17,04:06:00,5501.5,5501.5,5501.25,5501.25,11,28,25
2024-06-17,04:09:00,5501.0,5501.0,5500.75,5501.0,16,36,25
2024-06-17,04:12:00,5501.0,5501.0,5500.5,5500.75,41,80,25
2024-06-17,04:15:00,5500.75,5500.75,5500.5,5500.75,29,65,25
2024-06-17,04:18:00,5500.5,5501.0,5500.5,5501.0,9,13,25
2024-06-17,04:21:00,5501.0,5501.25,5501.0,5501.0,22,52,25
2024-06-17,04:24:00,5500.75,5500.75,5500.25,5500.5,19,34,25
2024-06-17,04:27:00,5500.5,5500.5,5500.25,5500.25,44,82,25
2024-06-17,04:30:00,5500.25,5500.25,5499.75,5499.75,83,181,0
2024-06-17,04:33:00,5499.75,5500.0,5499.5,5500.0,81,202,25
2024-06-17,04:36:00,5499.75,5499.75,5499.75,5499.75,13,26,25
2024-06-17,04:39:00,5499.75,5500.25,5499.75,5500.0,23,61,25
2024-06-17,04:42:00,5500.0,5500.25,5500.0,5500.0,27,74,25
2024-06-17,04:45:00,5499.75,5500.0,5499.5,5499.75,14,22,25
2024-06-17,04:48:00,5499.5,5500.0,5499.5,5500.0,20,31,25
2024-06-17,04:51:00,5499.75,5499.75,5499.25,5499.25,32,76,25
2024-06-17,04:54:00,5499.0,5499.25,5498.5,5498.75,64,135,25
2024-06-17,04:57:00,5498.75,5499.0,5498.5,5498.75,44,80,0
2024-06-17,05:00:00,5499.0,5499.0,5498.5,5498.5,37,79,25
2024-06-17,05:03:00,5498.5,5498.75,5498.25,5498.25,54,128,25
2024-06-17,05:06:00,5498.5,5498.75,5498.0,5498.75,41,85,25
2024-06-17,05:09:00,5498.75,5499.25,5498.5,5499.0,50,129,25
2024-06-17,05:12:00,5499.25,5499.75,5499.25,5499.5,68,168,25
2024-06-17,05:15:00,5499.5,5500.5,5499.5,5500.0,55,107,25
2024-06-17,05:18:00,5500.25,5500.5,5500.0,5500.25,50,100,25
2024-06-17,05:21:00,5500.25,5500.25,5500.0,5500.25,27,48,25
2024-06-17,05:24:00,5500.25,5500.25,5499.75,5499.75,40,90,25
2024-06-17,05:27:00,5500.0,5500.5,5499.75,5500.5,66,175,25
2024-06-17,05:30:00,5500.5,5501.5,5500.25,5501.25,91,174,25
2024-06-17,05:33:00,5501.5,5502.25,5501.0,5501.75,97,211,25
2024-06-17,05:36:00,5501.75,5503.0,5501.75,5502.25,190,471,25
2024-06-17,05:39:00,5502.5,5502.5,5501.75,5502.0,64,139,25
2024-06-17,05:42:00,5502.0,5502.5,5502.0,5502.25,73,169,25
