Date,Time,Open,High,Low,Close,Volume,<VOL>,<SPREAD>
2024-06-17,00:00:00,5502.0,5502.5,5500.25,5501.0,810,1808,0
2024-06-17,00:15:00,5501.25,5502.25,5501.0,5502.25,507,1005,25
2024-06-17,00:30:00,5502.25,5503.25,5501.25,5501.5,407,812,25
2024-06-17,00:45:00,5501.5,5502.5,5501.0,5501.0,439,1026,25
2024-06-17,01:00:00,5500.75,5501.0,5497.5,5497.75,715,1493,25
2024-06-17,01:15:00,5497.5,5498.75,5497.25,5497.75,398,865,25
2024-06-17,01:30:00,5498.0,5500.0,5498.0,5498.75,436,903,25
2024-06-17,01:45:00,5499.25,5500.75,5499.25,5500.0,349,846,25
2024-06-17,02:00:00,5500.0,5501.75,5499.5,5501.25,508,1142,25
2024-06-17,02:15:00,5501.25,5501.5,5498.5,5499.0,416,947,25
2024-06-17,02:30:00,5499.0,5501.25,5498.75,5500.5,384,890,25
2024-06-17,02:45:00,5500.5,5500.5,5499.0,5499.25,173,388,25
2024-06-17,03:00:00,5499.5,5500.5,5499.25,5500.0,243,539,25
2024-06-17,03:15:00,5500.0,5500.75,5500.0,5500.75,125,257,25
2024-06-17,03:30:00,5500.75,5501.5,5500.0,5500.5,316,746,25
2024-06-17,03:45:00,5500.5,5501.75,5500.0,5500.5,227,506,25
2024-06-17,04:00:00,5500.5,5502.0,5500.5,5500.75,189,420,25
2024-06-17,04:15:00,5500.75,5501.25,5500.25,5500.25,123,246,25
2024-06-17,04:30:00,5500.25,5500.25,5499.5,5500.0,227,544,0
2024-06-17,04:45:00,5499.75,5500.0,5498.5,5498.75,174,344,0
2024-06-17,05:00:00,5499.0,5499.75,5498.0,5499.5,250,589,25
2024-06-17,05:15:00,5499.5,5500.5,5499.5,5500.5,238,520,25
2024-06-17,05:30:00,5500.5,5503.0,5500.25,5502.25,515,1164,25
2024-06-17,05:45:00,5502.5,5503.0,5501.0,5502.0,439,1248,25
2024-06-17,06:00:00,5502.25,5502.5,5496.5,5498.75,1719,4144,25
