Date,Time,Open,High,Low,Close,<TICKVOL>,Volume,<SPREAD>,Filename
2024-03-28,00:00:00,68926.42,69117.22,68903.21,69050.19,1982,0,869,BTCUSD_M15_today.csv
2024-03-28,00:15:00,69050.2,69332.93,68962.5,69311.51,1902,0,869,BTCUSD_M15_today.csv
2024-03-28,00:30:00,69311.55,69409.52,69217.22,69377.98,1982,0,869,BTCUSD_M15_today.csv
2024-03-28,00:45:00,69378.29,69429.94,69321.11,69425.64,2339,0,869,BTCUSD_M15_today.csv
2024-03-28,01:00:00,69425.63,69434.5,69240.33,69316.87,2192,0,869,BTCUSD_M15_today.csv
2024-03-28,01:15:00,69316.92,69317.6,69177.04,69184.01,2113,0,870,BTCUSD_M15_today.csv
2024-03-28,01:30:00,69184.01,69191.88,69058.0,69157.24,2073,0,870,BTCUSD_M15_today.csv
2024-03-28,01:45:00,69157.24,69615.81,69107.4,69452.59,2126,0,870,BTCUSD_M15_today.csv
2024-03-28,02:00:00,69452.46,69555.19,69361.87,69519.09,2254,0,869,BTCUSD_M15_today.csv
2024-03-28,02:15:00,69519.09,69959.15,69454.54,69804.34,2486,0,868,BTCUSD_M15_today.csv
2024-03-28,02:30:00,69804.37,69823.07,69431.68,69580.28,2446,0,867,BTCUSD_M15_today.csv
2024-03-28,02:45:00,69580.29,69780.85,69533.42,69662.52,2181,0,867,BTCUSD_M15_today.csv
2024-03-28,03:00:00,69662.52,69727.82,69526.02,69589.97,2471,0,867,BTCUSD_M15_today.csv
2024-03-28,03:15:00,69590.52,69590.52,69335.83,69406.11,2236,0,869,BTCUSD_M15_today.csv
2024-03-28,03:30:00,69406.12,69552.38,69278.24,69444.37,2371,0,870,BTCUSD_M15_today.csv
2024-03-28,03:45:00,69443.75,69503.14,69376.84,69424.2,2353,0,871,BTCUSD_M15_today.csv
2024-03-28,04:00:00,69423.68,69556.49,69327.33,69547.56,2149,0,872,BTCUSD_M15_today.csv
2024-03-28,04:15:00,69547.56,69547.56,69418.21,69427.94,2038,0,874,BTCUSD_M15_today.csv
2024-03-28,04:30:00,69427.9,69438.96,68959.47,68959.47,2543,0,872,BTCUSD_M15_today.csv
2024-03-28,04:45:00,68959.48,69128.93,68882.66,69128.29,2437,0,871,BTCUSD_M15_today.csv
2024-03-28,05:00:00,69127.74,69308.71,69066.78,69269.13,2148,0,871,BTCUSD_M15_today.csv
2024-03-28,05:15:00,69269.17,69295.0,69170.73,69248.14,2035,0,874,BTCUSD_M15_today.csv
