Date,Time,Open,High,Low,Close,<TICKVOL>,Volume,<SPREAD>,Filename
2024-03-28,00:00:00,68926.42,69332.93,68903.21,69311.51,3884,0,869,BTCUSD_M30_today.csv
2024-03-28,00:30:00,69311.55,69429.94,69217.22,69425.64,4321,0,869,BTCUSD_M30_today.csv
2024-03-28,01:00:00,69425.63,69434.5,69177.04,69184.01,4305,0,869,BTCUSD_M30_today.csv
2024-03-28,01:30:00,69184.01,69615.81,69058.0,69452.59,4199,0,870,BTCUSD_M30_today.csv
2024-03-28,02:00:00,69452.46,69959.15,69361.87,69804.34,4740,0,868,BTCUSD_M30_today.csv
2024-03-28,02:30:00,69804.37,69823.07,69431.68,69662.52,4627,0,867,BTCUSD_M30_today.csv
2024-03-28,03:00:00,69662.52,69727.82,69335.83,69406.11,4707,0,867,BTCUSD_M30_today.csv
2024-03-28,03:30:00,69406.12,69552.38,69278.24,69424.2,4724,0,870,BTCUSD_M30_today.csv
2024-03-28,04:00:00,69423.68,69556.49,69327.33,69427.94,4187,0,872,BTCUSD_M30_today.csv
2024-03-28,04:30:00,69427.9,69438.96,68882.66,69128.29,4980,0,871,BTCUSD_M30_today.csv
2024-03-28,05:00:00,69127.74,69308.71,69066.78,69248.14,4183,0,871,BTCUSD_M30_today.csv
2024-03-28,05:30:00,69248.14,69350.32,69050.96,69266.7,4462,0,877,BTCUSD_M30_today.csv
2024-03-28,06:00:00,69266.7,69660.99,69256.5,69634.86,4185,0,880,BTCUSD_M30_today.csv
2024-03-28,06:30:00,69633.71,69733.65,69540.45,69699.57,4402,0,881,BTCUSD_M30_today.csv
2024-03-28,07:00:00,69699.71,69903.4,69587.4,69790.7,3375,0,882,BTCUSD_M30_today.csv
2024-03-28,07:30:00,69790.65,69792.5,69602.05,69696.54,3185,0,883,BTCUSD_M30_today.csv
2024-03-28,08:00:00,69696.33,70084.0,69629.22,70057.1,4863,0,882,BTCUSD_M30_today.csv
2024-03-28,08:30:00,70057.11,70379.05,69999.82,70348.16,4531,0,881,BTCUSD_M30_today.csv
2024-03-28,09:00:00,70348.25,70445.59,70178.57,70333.41,4213,0,875,BTCUSD_M30_today.csv
2024-03-28,09:30:00,70333.24,70420.56,70226.54,70385.76,4363,0,875,BTCUSD_M30_today.csv
2024-03-28,10:00:00,70385.77,70585.65,70286.64,70482.16,4212,0,876,BTCUSD_M30_today.csv
2024-03-28,10:30:00,70482.25,70850.05,70477.49,70564.18,4448,0,874,BTCUSD_M30_today.csv
2024-03-28,11:00:00,70564.19,70919.24,70521.36,70636.16,4265,0,874,BTCUSD_M30_today.csv
2024-03-28,11:30:00,70636.73,70713.1,70512.16,70548.81,4260,0,876,BTCUSD_M30_today.csv
2024-03-28,12:00:00,70548.45,70670.02,70326.64,70333.65,4138,0,874,BTCUSD_M30_today.csv
2024-03-28,12:30:00,70333.91,70827.87,70323.03,70780.92,4352,0,874,BTCUSD_M30_today.csv
2024-03-28,13:00:00,70780.95,70938.06,70633.16,70739.1,4395,0,873,BTCUSD_M30_today.csv
2024-03-28,13:30:00,70737.98,70780.99,70501.76,70626.98,4179,0,873,BTCUSD_M30_today.csv
2024-03-28,14:00:00,70627.58,70797.23,70360.32,70500.76,4418,0,875,BTCUSD_M30_today.csv
2024-03-28,14:30:00,70500.85,70829.38,70331.24,70819.23,4849,0,873,BTCUSD_M30_today.csv
2024-03-28,15:00:00,70818.56,71104.72,70391.91,71010.81,4903,0,871,BTCUSD_M30_today.csv
2024-03-28,15:30:00,71003.18,71343.81,70678.91,70875.43,5397,0,870,BTCUSD_M30_today.csv
2024-03-28,16:00:00,70875.21,71217.08,70681.49,71035.55,5147,0,868,BTCUSD_M30_today.csv
2024-03-28,16:30:00,71036.33,71552.63,71024.44,71539.07,5404,0,865,BTCUSD_M30_today.csv
2024-03-28,17:00:00,71539.27,71539.62,71011.52,71063.27,5168,0,863,BTCUSD_M30_today.csv
2024-03-28,17:30:00,71063.28,71435.45,70975.26,71284.61,4912,0,860,BTCUSD_M30_today.csv
2024-03-28,18:00:00,71288.44,71320.18,70617.81,70936.35,4746,0,861,BTCUSD_M30_today.csv
2024-03-28,18:30:00,70936.83,71019.51,70522.19,70685.71,4872,0,862,BTCUSD_M30_today.csv
2024-03-28,19:00:00,70685.46,70758.64,70468.34,70696.78,4259,0,861,BTCUSD_M30_today.csv
2024-03-28,19:30:00,70696.78,70835.16,70615.87,70787.65,3899,0,861,BTCUSD_M30_today.csv
2024-03-28,20:00:00,70787.53,70972.11,70755.48,70896.45,2987,0,862,BTCUSD_M30_today.csv
2024-03-28,20:30:00,70893.59,70898.09,70394.98,70543.58,3438,0,863,BTCUSD_M30_today.csv
2024-03-28,21:00:00,70543.58,70690.58,70480.61,70670.14,1593,0,867,BTCUSD_M30_today.csv
