Date,Time,Open,High,Low,Close,<TICKVOL>,Volume,<SPREAD>,Filename
2020-01-01,00:00:00,7184.83,7232.54,7176.43,7216.37,68299,0,3,BTCUSD_H4.csv
2020-01-01,04:00:00,7216.4,7244.81,7213.08,7223.27,55213,0,3,BTCUSD_H4.csv
2020-01-01,08:00:00,7223.27,7235.97,7177.62,7190.69,52548,0,3,BTCUSD_H4.csv
2020-01-01,12:00:00,7190.72,7237.55,7186.94,7219.76,39003,0,3,BTCUSD_H4.csv
2020-01-01,16:00:00,7219.76,7258.21,7207.22,7237.95,47906,0,3,BTCUSD_H4.csv
2020-01-01,20:00:00,7237.88,7246.9,7225.45,7234.96,67085,0,3,BTCUSD_H4.csv
2020-01-02,00:00:00,7234.96,7235.48,7177.62,7191.6,51847,0,3,BTCUSD_H4.csv
2020-01-02,04:00:00,7191.6,7191.6,7115.84,7139.58,57182,0,3,BTCUSD_H4.csv
2020-01-02,08:00:00,7138.48,7165.46,7101.5,7162.7,54891,0,3,BTCUSD_H4.csv
2020-01-02,12:00:00,7162.68,7181.07,7104.99,7131.4,57028,0,3,BTCUSD_H4.csv
2020-01-02,16:00:00,7131.4,7161.48,6933.99,6973.56,76745,0,3,BTCUSD_H4.csv
2020-01-02,20:00:00,6973.57,6995.13,6944.26,6976.97,56557,0,3,BTCUSD_H4.csv
2020-01-03,00:00:00,6976.98,6978.29,6880.4,6888.11,63447,0,3,BTCUSD_H4.csv
2020-01-03,04:00:00,6888.1,7281.93,6872.91,7219.98,60026,0,3,BTCUSD_H4.csv
2020-01-03,08:00:00,7219.97,7353.73,7187.08,7345.02,68054,0,3,BTCUSD_H4.csv
2020-01-03,12:00:00,7345.02,7376.46,7288.0,7346.42,70462,0,3,BTCUSD_H4.csv
2020-01-03,16:00:00,7346.41,7405.23,7236.63,7353.82,77628,0,3,BTCUSD_H4.csv
2020-01-03,20:00:00,7353.82,7368.75,7264.13,7282.11,85908,0,3,BTCUSD_H4.csv
2020-01-04,00:00:00,7282.05,7348.33,7261.74,7308.45,63428,0,3,BTCUSD_H4.csv
2020-01-04,04:00:00,7308.45,7369.97,7296.93,7342.56,48833,0,3,BTCUSD_H4.csv
2020-01-04,08:00:00,7342.67,7369.98,7325.93,7363.81,57867,0,3,BTCUSD_H4.csv
2020-01-04,12:00:00,7363.8,7368.55,7290.97,7303.34,52463,0,3,BTCUSD_H4.csv
2020-01-04,16:00:00,7302.28,7348.97,7295.19,7348.97,49986,0,3,BTCUSD_H4.csv
2020-01-04,20:00:00,7348.98,7402.87,7272.69,7348.39,67993,0,3,BTCUSD_H4.csv
2020-01-05,00:00:00,7348.65,7476.34,7328.41,7456.11,82424,0,3,BTCUSD_H4.csv
2020-01-05,04:00:00,7456.28,7495.61,7430.47,7459.14,62002,0,3,BTCUSD_H4.csv
2020-01-05,08:00:00,7459.14,7482.01,7397.07,7424.65,52614,0,3,BTCUSD_H4.csv
2020-01-05,12:00:00,7423.03,7459.46,7403.49,7431.69,50111,0,3,BTCUSD_H4.csv
2020-01-05,16:00:00,7431.7,7486.57,7425.55,7464.87,41350,0,3,BTCUSD_H4.csv
2020-01-05,20:00:00,7464.86,7468.58,7358.65,7369.54,40363,0,3,BTCUSD_H4.csv
2020-01-06,00:00:00,7369.53,7426.96,7322.29,7423.11,54044,0,3,BTCUSD_H4.csv
2020-01-06,04:00:00,7423.13,7579.5,7422.23,7530.94,57417,0,3,BTCUSD_H4.csv
2020-01-06,08:00:00,7531.07,7551.35,7505.83,7549.83,41822,0,3,BTCUSD_H4.csv
2020-01-06,12:00:00,7549.84,7609.73,7495.0,7527.08,50212,0,3,BTCUSD_H4.csv
2020-01-06,16:00:00,7527.37,7559.98,7506.98,7559.89,48554,0,3,BTCUSD_H4.csv
2020-01-06,20:00:00,7559.89,7607.54,7520.55,7576.17,54266,0,3,BTCUSD_H4.csv
2020-01-07,00:00:00,7576.06,8004.0,7575.63,7901.39,87632,0,3,BTCUSD_H4.csv
2020-01-07,04:00:00,7901.39,7940.11,7817.19,7873.08,77591,0,3,BTCUSD_H4.csv
2020-01-07,08:00:00,7872.43,7902.54,7854.16,7856.06,44121,0,3,BTCUSD_H4.csv
2020-01-07,12:00:00,7856.07,7961.8,7814.99,7846.76,72286,0,3,BTCUSD_H4.csv
2020-01-07,16:00:00,7846.76,7954.06,7729.3,7936.15,81854,0,3,BTCUSD_H4.csv
2020-01-07,20:00:00,7936.15,8187.96,7917.55,8014.77,87598,0,3,BTCUSD_H4.csv
2020-01-08,00:00:00,8014.78,8452.83,7956.35,8368.63,92978,0,3,BTCUSD_H4.csv
2020-01-08,04:00:00,8368.66,8418.85,8246.4,8336.17,89179,0,3,BTCUSD_H4.csv
2020-01-08,08:00:00,8336.17,8366.81,8265.33,8296.58,72307,0,3,BTCUSD_H4.csv
2020-01-08,12:00:00,8296.58,8414.16,8223.74,8383.5,66662,0,3,BTCUSD_H4.csv
2020-01-08,16:00:00,8383.5,8384.08,8011.16,8077.15,89520,0,3,BTCUSD_H4.csv
2020-01-08,20:00:00,8077.15,8093.13,7872.43,8018.45,80695,0,3,BTCUSD_H4.csv
2020-01-09,00:00:00,8018.45,8119.98,7930.03,8004.28,87145,0,3,BTCUSD_H4.csv
2020-01-09,04:00:00,8004.29,8025.37,7926.66,7939.65,75074,0,3,BTCUSD_H4.csv
2020-01-09,08:00:00,7939.66,7972.04,7862.49,7876.17,74901,0,3,BTCUSD_H4.csv
2020-01-09,12:00:00,7876.23,7946.19,7856.99,7895.61,71988,0,3,BTCUSD_H4.csv
2020-01-09,16:00:00,7895.46,7928.66,7782.38,7799.91,89335,0,3,BTCUSD_H4.csv
2020-01-09,20:00:00,7799.91,7997.25,7750.51,7792.43,81244,0,3,BTCUSD_H4.csv
2020-01-10,00:00:00,7792.43,7867.45,7790.3,7805.59,76658,0,3,BTCUSD_H4.csv
2020-01-10,04:00:00,7805.68,7824.18,7739.75,7747.59,62481,0,3,BTCUSD_H4.csv
2020-01-10,08:00:00,7747.59,7781.87,7690.99,7724.3,67550,0,3,BTCUSD_H4.csv
2020-01-10,12:00:00,7724.19,7942.42,7678.03,7866.56,84488,0,3,BTCUSD_H4.csv
2020-01-10,16:00:00,7866.58,8137.24,7850.44,7966.35,91482,0,3,BTCUSD_H4.csv
2020-01-10,20:00:00,7966.35,8127.98,7965.69,8047.16,80067,0,3,BTCUSD_H4.csv
2020-01-11,00:00:00,8047.16,8254.96,7986.7,8205.17,73418,0,3,BTCUSD_H4.csv
2020-01-11,04:00:00,8205.17,8213.46,8047.76,8083.45,63172,0,3,BTCUSD_H4.csv
2020-01-11,08:00:00,8083.46,8147.85,8039.99,8112.52,65616,0,3,BTCUSD_H4.csv
2020-01-11,12:00:00,8112.53,8116.35,8012.69,8089.11,77463,0,3,BTCUSD_H4.csv
2020-01-11,16:00:00,8089.13,8214.98,8050.18,8159.28,100423,0,3,BTCUSD_H4.csv
2020-01-11,20:00:00,8159.28,8283.13,8061.52,8104.03,93174,0,3,BTCUSD_H4.csv
2020-01-12,00:00:00,8104.04,8110.54,7962.84,8064.42,100156,0,3,BTCUSD_H4.csv
2020-01-12,04:00:00,8064.42,8111.98,8053.13,8106.68,73213,0,3,BTCUSD_H4.csv
2020-01-12,08:00:00,8106.3,8161.76,8083.12,8134.81,74604,0,3,BTCUSD_H4.csv
2020-01-12,12:00:00,8134.98,8169.98,8096.8,8163.27,75446,0,3,BTCUSD_H4.csv
2020-01-12,16:00:00,8162.86,8194.23,8071.07,8101.63,86615,0,3,BTCUSD_H4.csv
2020-01-12,20:00:00,8101.65,8162.26,8086.32,8104.99,78131,0,3,BTCUSD_H4.csv
2020-01-13,00:00:00,8104.99,8194.52,8102.94,8155.27,70400,0,3,BTCUSD_H4.csv
2020-01-13,04:00:00,8155.15,8159.56,8078.06,8094.8,64392,0,3,BTCUSD_H4.csv
2020-01-13,08:00:00,8094.6,8133.75,8058.99,8111.66,72999,0,3,BTCUSD_H4.csv
2020-01-13,12:00:00,8111.91,8129.98,8056.44,8084.9,76125,0,3,BTCUSD_H4.csv
2020-01-13,16:00:00,8084.8,8131.04,8067.58,8096.34,58362,0,3,BTCUSD_H4.csv
2020-01-13,20:00:00,8096.23,8159.03,8085.82,8134.32,59707,0,3,BTCUSD_H4.csv
2020-01-14,00:00:00,8134.32,8469.84,8101.02,8429.53,82542,0,3,BTCUSD_H4.csv
2020-01-14,04:00:00,8429.54,8574.45,8370.69,8475.05,88977,0,3,BTCUSD_H4.csv
2020-01-14,08:00:00,8475.05,8559.98,8462.49,8498.63,80852,0,3,BTCUSD_H4.csv
2020-01-14,12:00:00,8498.54,8617.54,8470.29,8589.79,89073,0,3,BTCUSD_H4.csv
2020-01-14,16:00:00,8590.35,8816.28,8520.71,8778.77,122041,0,3,BTCUSD_H4.csv
2020-01-14,20:00:00,8778.14,8855.25,8666.24,8735.68,89862,0,3,BTCUSD_H4.csv
2020-01-15,00:00:00,8734.49,8901.28,8706.99,8779.67,105073,0,3,BTCUSD_H4.csv
2020-01-15,04:00:00,8779.67,8834.52,8569.01,8611.39,102435,0,3,BTCUSD_H4.csv
2020-01-15,08:00:00,8611.4,8778.27,8604.79,8752.8,95241,0,3,BTCUSD_H4.csv
2020-01-15,12:00:00,8753.68,8914.87,8721.29,8899.18,99433,0,3,BTCUSD_H4.csv
2020-01-15,16:00:00,8897.41,8905.4,8680.95,8798.57,109734,0,3,BTCUSD_H4.csv
2020-01-15,20:00:00,8798.53,8857.92,8715.63,8828.28,87496,0,3,BTCUSD_H4.csv
2020-01-16,00:00:00,8828.29,8872.07,8614.35,8662.48,97878,0,3,BTCUSD_H4.csv
2020-01-16,04:00:00,8662.48,8724.15,8590.34,8703.1,96028,0,3,BTCUSD_H4.csv
2020-01-16,08:00:00,8701.53,8725.05,8605.47,8644.89,97753,0,3,BTCUSD_H4.csv
2020-01-16,12:00:00,8644.56,8783.16,8602.6,8697.34,100568,0,3,BTCUSD_H4.csv
2020-01-16,16:00:00,8697.73,8723.77,8625.1,8677.52,104973,0,3,BTCUSD_H4.csv
2020-01-16,20:00:00,8677.54,8757.11,8655.67,8690.78,88715,0,3,BTCUSD_H4.csv
2020-01-17,00:00:00,8690.47,8746.1,8674.99,8738.64,73852,0,3,BTCUSD_H4.csv
2020-01-17,04:00:00,8737.9,8901.98,8718.09,8894.49,67133,0,3,BTCUSD_H4.csv
2020-01-17,08:00:00,8894.49,9008.54,8846.15,8969.47,77467,0,3,BTCUSD_H4.csv
2020-01-17,12:00:00,8969.58,9026.62,8802.05,8851.14,64835,0,3,BTCUSD_H4.csv
2020-01-17,16:00:00,8850.91,8926.51,8772.17,8889.48,73222,0,3,BTCUSD_H4.csv
2020-01-17,20:00:00,8889.48,8957.99,8809.99,8923.78,89147,0,3,BTCUSD_H4.csv
2020-01-18,00:00:00,8923.78,8990.2,8875.37,8940.07,90469,0,3,BTCUSD_H4.csv
2020-01-18,04:00:00,8937.61,8948.38,8813.44,8845.14,98182,0,3,BTCUSD_H4.csv
2020-01-18,08:00:00,8845.14,8903.65,8808.68,8880.62,87171,0,3,BTCUSD_H4.csv
2020-01-18,12:00:00,8880.2,8950.38,8856.08,8917.73,86799,0,3,BTCUSD_H4.csv
2020-01-18,16:00:00,8917.74,8966.02,8844.49,8903.75,99798,0,3,BTCUSD_H4.csv
2020-01-18,20:00:00,8902.72,8926.15,8872.64,8919.71,83235,0,3,BTCUSD_H4.csv
2020-01-19,00:00:00,8919.72,9174.02,8889.07,9141.77,87907,0,3,BTCUSD_H4.csv
2020-01-19,04:00:00,9141.78,9197.54,9113.44,9127.53,61804,0,3,BTCUSD_H4.csv
