Date,Time,Open,High,Low,Close,<TICKVOL>,Volume,<SPREAD>,Filename
2024-03-28,00:00:00,68926.42,68988.38,68903.21,68975.87,666,0,870,BTCUSD_M5_today.csv
2024-03-28,00:05:00,68975.82,69117.22,68963.83,69053.69,730,0,869,BTCUSD_M5_today.csv
2024-03-28,00:10:00,69051.76,69077.46,68984.82,69050.19,586,0,869,BTCUSD_M5_today.csv
2024-03-28,00:15:00,69050.2,69088.13,68962.5,69025.64,631,0,869,BTCUSD_M5_today.csv
2024-03-28,00:20:00,69025.84,69180.75,69025.84,69163.28,640,0,870,BTCUSD_M5_today.csv
2024-03-28,00:25:00,69163.31,69332.93,69128.64,69311.51,631,0,870,BTCUSD_M5_today.csv
2024-03-28,00:30:00,69311.55,69342.07,69217.22,69261.97,666,0,870,BTCUSD_M5_today.csv
2024-03-28,00:35:00,69261.96,69398.54,69260.45,69376.88,636,0,870,BTCUSD_M5_today.csv
2024-03-28,00:40:00,69375.32,69409.52,69283.89,69377.98,680,0,869,BTCUSD_M5_today.csv
2024-03-28,00:45:00,69378.29,69429.94,69321.11,69390.01,803,0,869,BTCUSD_M5_today.csv
2024-03-28,00:50:00,69389.93,69390.03,69322.38,69339.61,783,0,869,BTCUSD_M5_today.csv
2024-03-28,00:55:00,69339.44,69427.21,69337.85,69425.64,753,0,869,BTCUSD_M5_today.csv
2024-03-28,01:00:00,69425.63,69432.55,69348.22,69377.41,741,0,869,BTCUSD_M5_today.csv
2024-03-28,01:05:00,69377.42,69434.5,69373.74,69394.79,679,0,869,BTCUSD_M5_today.csv
2024-03-28,01:10:00,69394.83,69428.3,69240.33,69316.87,772,0,870,BTCUSD_M5_today.csv
2024-03-28,01:15:00,69316.92,69317.6,69245.39,69277.68,748,0,870,BTCUSD_M5_today.csv
2024-03-28,01:20:00,69277.44,69286.9,69177.04,69212.29,686,0,870,BTCUSD_M5_today.csv
2024-03-28,01:25:00,69208.23,69300.28,69179.55,69184.01,679,0,870,BTCUSD_M5_today.csv
2024-03-28,01:30:00,69184.01,69191.88,69058.0,69069.68,811,0,870,BTCUSD_M5_today.csv
2024-03-28,01:35:00,69069.68,69152.97,69064.3,69082.46,725,0,870,BTCUSD_M5_today.csv
2024-03-28,01:40:00,69082.31,69157.83,69074.69,69157.24,537,0,870,BTCUSD_M5_today.csv
2024-03-28,01:45:00,69157.24,69282.42,69107.4,69263.52,580,0,870,BTCUSD_M5_today.csv
2024-03-28,01:50:00,69263.52,69543.98,69235.72,69543.62,741,0,870,BTCUSD_M5_today.csv
2024-03-28,01:55:00,69543.78,69615.81,69411.51,69452.59,805,0,870,BTCUSD_M5_today.csv
2024-03-28,02:00:00,69452.46,69466.25,69361.87,69466.25,796,0,870,BTCUSD_M5_today.csv
2024-03-28,02:05:00,69471.29,69528.07,69459.61,69525.31,762,0,869,BTCUSD_M5_today.csv
2024-03-28,02:10:00,69525.31,69555.19,69498.31,69519.09,696,0,869,BTCUSD_M5_today.csv
2024-03-28,02:15:00,69519.09,69878.9,69454.54,69834.96,823,0,870,BTCUSD_M5_today.csv
2024-03-28,02:20:00,69819.84,69959.15,69773.72,69795.93,878,0,869,BTCUSD_M5_today.csv
2024-03-28,02:25:00,69830.97,69900.69,69792.62,69804.34,785,0,868,BTCUSD_M5_today.csv
2024-03-28,02:30:00,69804.37,69823.07,69612.63,69658.79,815,0,868,BTCUSD_M5_today.csv
2024-03-28,02:35:00,69663.64,69672.34,69492.84,69527.02,856,0,867,BTCUSD_M5_today.csv
2024-03-28,02:40:00,69527.19,69587.84,69431.68,69580.28,775,0,867,BTCUSD_M5_today.csv
2024-03-28,02:45:00,69580.29,69780.85,69533.42,69702.19,739,0,867,BTCUSD_M5_today.csv
2024-03-28,02:50:00,69701.67,69763.6,69650.42,69686.5,776,0,901,BTCUSD_M5_today.csv
2024-03-28,02:55:00,69686.05,69739.03,69640.98,69662.52,666,0,867,BTCUSD_M5_today.csv
2024-03-28,03:00:00,69662.52,69727.82,69573.24,69590.54,800,0,867,BTCUSD_M5_today.csv
2024-03-28,03:05:00,69589.8,69649.88,69545.97,69549.22,826,0,869,BTCUSD_M5_today.csv
2024-03-28,03:10:00,69549.26,69615.41,69526.02,69589.97,845,0,876,BTCUSD_M5_today.csv
2024-03-28,03:15:00,69590.52,69590.52,69451.86,69490.42,741,0,869,BTCUSD_M5_today.csv
2024-03-28,03:20:00,69489.44,69543.8,69477.9,69542.86,698,0,870,BTCUSD_M5_today.csv
2024-03-28,03:25:00,69542.86,69570.91,69335.83,69406.11,797,0,870,BTCUSD_M5_today.csv
2024-03-28,03:30:00,69406.12,69444.67,69278.24,69444.48,811,0,871,BTCUSD_M5_today.csv
2024-03-28,03:35:00,69444.48,69552.38,69444.48,69483.36,820,0,870,BTCUSD_M5_today.csv
2024-03-28,03:40:00,69482.62,69539.38,69430.41,69444.37,740,0,871,BTCUSD_M5_today.csv
2024-03-28,03:45:00,69443.75,69503.14,69436.21,69449.06,772,0,871,BTCUSD_M5_today.csv
2024-03-28,03:50:00,69449.12,69463.59,69376.84,69392.87,770,0,871,BTCUSD_M5_today.csv
2024-03-28,03:55:00,69393.15,69448.95,69388.15,69424.2,811,0,872,BTCUSD_M5_today.csv
2024-03-28,04:00:00,69423.68,69556.49,69327.33,69513.95,714,0,872,BTCUSD_M5_today.csv
2024-03-28,04:05:00,69513.95,69538.16,69461.73,69462.78,720,0,874,BTCUSD_M5_today.csv
2024-03-28,04:10:00,69462.81,69554.66,69462.68,69547.56,715,0,874,BTCUSD_M5_today.csv
2024-03-28,04:15:00,69547.56,69547.56,69442.92,69488.21,736,0,874,BTCUSD_M5_today.csv
2024-03-28,04:20:00,69488.21,69505.95,69418.21,69452.02,723,0,874,BTCUSD_M5_today.csv
2024-03-28,04:25:00,69452.11,69474.7,69418.42,69427.94,579,0,874,BTCUSD_M5_today.csv
2024-03-28,04:30:00,69427.9,69438.96,69032.91,69058.55,837,0,874,BTCUSD_M5_today.csv
2024-03-28,04:35:00,69059.23,69202.64,69059.02,69130.36,859,0,873,BTCUSD_M5_today.csv
2024-03-28,04:40:00,69130.39,69130.81,68959.47,68959.47,847,0,872,BTCUSD_M5_today.csv
2024-03-28,04:45:00,68959.48,69126.2,68882.66,69066.37,905,0,872,BTCUSD_M5_today.csv
2024-03-28,04:50:00,69066.63,69122.37,68977.31,69100.18,799,0,871,BTCUSD_M5_today.csv
2024-03-28,04:55:00,69100.18,69128.93,69059.72,69128.29,733,0,872,BTCUSD_M5_today.csv
2024-03-28,05:00:00,69127.74,69253.46,69066.78,69221.72,769,0,871,BTCUSD_M5_today.csv
2024-03-28,05:05:00,69221.89,69257.48,69213.17,69240.86,733,0,872,BTCUSD_M5_today.csv
2024-03-28,05:10:00,69240.76,69308.71,69235.45,69269.13,646,0,873,BTCUSD_M5_today.csv
2024-03-28,05:15:00,69269.17,69295.0,69212.84,69267.22,743,0,874,BTCUSD_M5_today.csv
2024-03-28,05:20:00,69267.26,69274.22,69178.85,69219.86,641,0,875,BTCUSD_M5_today.csv
2024-03-28,05:25:00,69219.86,69250.36,69170.73,69248.14,651,0,876,BTCUSD_M5_today.csv
2024-03-28,05:30:00,69248.14,69350.32,69248.14,69309.11,701,0,877,BTCUSD_M5_today.csv
2024-03-28,05:35:00,69309.19,69309.19,69054.35,69064.41,798,0,878,BTCUSD_M5_today.csv
2024-03-28,05:40:00,69065.12,69095.5,69050.96,69069.96,764,0,878,BTCUSD_M5_today.csv
2024-03-28,05:45:00,69070.07,69236.3,69053.68,69204.03,738,0,881,BTCUSD_M5_today.csv
2024-03-28,05:50:00,69203.85,69272.61,69177.86,69257.7,758,0,881,BTCUSD_M5_today.csv
2024-03-28,05:55:00,69259.71,69318.97,69214.28,69266.7,703,0,881,BTCUSD_M5_today.csv
2024-03-28,06:00:00,69266.7,69389.62,69256.5,69382.42,712,0,881,BTCUSD_M5_today.csv
2024-03-28,06:05:00,69382.38,69484.43,69366.85,69410.89,715,0,882,BTCUSD_M5_today.csv
2024-03-28,06:10:00,69410.89,69509.21,69386.65,69508.49,714,0,880,BTCUSD_M5_today.csv
2024-03-28,06:15:00,69508.49,69578.39,69444.36,69537.33,701,0,881,BTCUSD_M5_today.csv
2024-03-28,06:20:00,69537.25,69621.79,69508.65,69586.48,667,0,881,BTCUSD_M5_today.csv
2024-03-28,06:25:00,69584.63,69660.99,69584.63,69634.86,676,0,881,BTCUSD_M5_today.csv
2024-03-28,06:30:00,69633.71,69665.66,69577.63,69598.48,733,0,881,BTCUSD_M5_today.csv
2024-03-28,06:35:00,69598.5,69733.65,69540.45,69716.97,794,0,882,BTCUSD_M5_today.csv
2024-03-28,06:40:00,69716.96,69729.52,69660.58,69666.28,720,0,883,BTCUSD_M5_today.csv
2024-03-28,06:45:00,69666.61,69676.54,69581.8,69636.3,709,0,939,BTCUSD_M5_today.csv
2024-03-28,06:50:00,69636.32,69699.91,69625.16,69675.75,780,0,886,BTCUSD_M5_today.csv
2024-03-28,06:55:00,69675.76,69709.14,69637.43,69699.57,666,0,885,BTCUSD_M5_today.csv
2024-03-28,07:00:00,69699.71,69772.64,69699.3,69762.62,727,0,883,BTCUSD_M5_today.csv
2024-03-28,07:05:00,69762.0,69762.0,69633.31,69670.93,680,0,883,BTCUSD_M5_today.csv
2024-03-28,07:10:00,69670.83,69671.17,69601.53,69625.45,581,0,883,BTCUSD_M5_today.csv
2024-03-28,07:15:00,69625.45,69625.5,69587.4,69602.98,387,0,882,BTCUSD_M5_today.csv
2024-03-28,07:20:00,69602.45,69903.4,69601.39,69884.15,510,0,884,BTCUSD_M5_today.csv
2024-03-28,07:25:00,69881.73,69889.08,69760.23,69790.7,490,0,884,BTCUSD_M5_today.csv
2024-03-28,07:30:00,69790.65,69792.5,69612.76,69615.52,580,0,883,BTCUSD_M5_today.csv
2024-03-28,07:35:00,69615.85,69746.38,69602.05,69679.8,689,0,883,BTCUSD_M5_today.csv
2024-03-28,07:40:00,69679.95,69749.47,69679.95,69736.01,522,0,884,BTCUSD_M5_today.csv
2024-03-28,07:45:00,69736.02,69740.84,69628.49,69647.9,451,0,883,BTCUSD_M5_today.csv
2024-03-28,07:50:00,69648.37,69714.99,69610.23,69674.66,494,0,883,BTCUSD_M5_today.csv
2024-03-28,07:55:00,69674.77,69728.11,69674.63,69696.54,449,0,885,BTCUSD_M5_today.csv
2024-03-28,08:00:00,69696.33,69748.22,69650.36,69663.36,760,0,886,BTCUSD_M5_today.csv
2024-03-28,08:05:00,69663.26,69749.64,69629.22,69739.46,760,0,885,BTCUSD_M5_today.csv
