Date,Open,High,Low,Close,<TICKVOL>,Volume,<SPREAD>,Time,Filename
2020-02-09,9912.32,10160.83,9838.56,10084.17,186234,0,3,00:00:00,BTCUSD_D1.csv
2020-02-10,10084.47,10188.43,9754.06,9864.31,247977,0,3,00:00:00,BTCUSD_D1.csv
2020-02-11,9863.32,10322.85,9714.16,10201.48,245342,0,3,00:00:00,BTCUSD_D1.csv
2020-02-12,10201.25,10454.96,10179.36,10376.5,296609,0,3,00:00:00,BTCUSD_D1.csv
2020-02-13,10376.5,10499.98,10086.44,10192.44,315286,0,3,00:00:00,BTCUSD_D1.csv
2020-02-14,10192.38,10377.98,10109.99,10328.95,265100,0,3,00:00:00,BTCUSD_D1.csv
2020-02-15,10328.96,10377.98,9799.99,9922.15,228939,0,3,00:00:00,BTCUSD_D1.csv
2020-02-16,9921.83,10049.08,9632.05,9760.3,255058,0,3,00:00:00,BTCUSD_D1.csv
2020-02-17,9760.31,9992.9,9456.77,9632.37,353403,0,3,00:00:00,BTCUSD_D1.csv
2020-02-18,9632.37,10258.29,9590.3,10133.82,316439,0,3,00:00:00,BTCUSD_D1.csv
2020-02-19,10133.82,10270.35,9309.05,9607.97,303268,0,3,00:00:00,BTCUSD_D1.csv
2020-02-20,9607.98,9704.32,9383.41,9611.3,329969,0,3,00:00:00,BTCUSD_D1.csv
2020-02-21,9611.3,9755.87,9559.55,9659.51,330296,0,3,00:00:00,BTCUSD_D1.csv
2020-02-22,9659.51,9717.37,9556.18,9684.35,352152,0,3,00:00:00,BTCUSD_D1.csv
2020-02-23,9684.35,9989.8,9644.99,9863.53,310015,0,3,00:00:00,BTCUSD_D1.csv
2020-02-24,9863.54,9995.63,9476.61,9608.81,396468,0,3,00:00:00,BTCUSD_D1.csv
2020-02-25,9608.85,9677.17,9243.99,9396.55,370175,0,3,00:00:00,BTCUSD_D1.csv
2020-02-26,9394.7,9426.1,8621.01,8750.9,409025,0,3,00:00:00,BTCUSD_D1.csv
2020-02-27,8750.92,8972.53,8527.24,8761.23,391765,0,3,00:00:00,BTCUSD_D1.csv
2020-02-28,8761.24,8904.99,8443.08,8657.7,431327,0,3,00:00:00,BTCUSD_D1.csv
2020-02-29,8657.7,8796.3,8574.99,8632.95,383254,0,3,00:00:00,BTCUSD_D1.csv
2020-03-01,8632.99,8750.05,8421.0,8523.42,383929,0,3,00:00:00,BTCUSD_D1.csv
2020-03-02,8523.89,8936.82,8497.01,8934.11,357482,0,3,00:00:00,BTCUSD_D1.csv
2020-03-03,8934.2,8960.92,8652.27,8736.21,356987,0,3,00:00:00,BTCUSD_D1.csv
2020-03-04,8736.31,8846.33,8666.83,8723.59,322414,0,3,00:00:00,BTCUSD_D1.csv
2020-03-05,8723.6,9157.0,8720.45,9097.9,328552,0,3,00:00:00,BTCUSD_D1.csv
2020-03-06,9097.91,9167.88,8987.53,9114.19,294954,0,3,00:00:00,BTCUSD_D1.csv
2020-03-07,9113.02,9192.15,8842.48,8881.37,260031,0,3,00:00:00,BTCUSD_D1.csv
2020-03-08,8881.29,8922.71,8158.99,8244.69,270989,0,3,00:00:00,BTCUSD_D1.csv
2020-03-09,8244.69,8274.36,7634.21,7834.17,398772,0,3,00:00:00,BTCUSD_D1.csv
2020-03-10,7834.19,8146.85,7736.62,7966.64,336301,0,3,00:00:00,BTCUSD_D1.csv
2020-03-11,7966.66,8009.59,7595.95,7810.88,321522,0,3,00:00:00,BTCUSD_D1.csv
2020-03-12,7811.4,7984.85,5572.01,5814.98,414814,0,3,00:00:00,BTCUSD_D1.csv
2020-03-13,5815.0,5942.01,3803.48,5494.41,376430,0,3,00:00:00,BTCUSD_D1.csv
2020-03-14,5494.41,5693.35,5183.53,5305.29,350694,0,3,00:00:00,BTCUSD_D1.csv
2020-03-15,5305.52,5943.19,5064.99,5901.76,332105,0,3,00:00:00,BTCUSD_D1.csv
2020-03-16,5901.78,5902.07,4444.73,4960.59,399478,0,3,00:00:00,BTCUSD_D1.csv
2020-03-17,4960.59,5528.95,4849.36,5422.89,399879,0,3,00:00:00,BTCUSD_D1.csv
2020-03-18,5422.89,5453.86,5009.32,5351.42,373930,0,3,00:00:00,BTCUSD_D1.csv
2020-03-19,5351.78,6353.31,5252.7,6235.4,360520,0,3,00:00:00,BTCUSD_D1.csv
2020-03-20,6235.5,6900.5,5660.48,6229.06,391240,0,3,00:00:00,BTCUSD_D1.csv
2020-03-21,6229.08,6447.61,5855.68,6171.39,366586,0,3,00:00:00,BTCUSD_D1.csv
2020-03-22,6171.51,6408.28,5765.34,6048.83,379046,0,3,00:00:00,BTCUSD_D1.csv
2020-03-23,6048.84,6593.85,5660.66,6441.32,352909,0,3,00:00:00,BTCUSD_D1.csv
2020-03-24,6441.07,6827.06,6353.41,6695.64,380628,0,3,00:00:00,BTCUSD_D1.csv
2020-03-25,6695.64,6956.96,6450.5,6596.89,379467,0,3,00:00:00,BTCUSD_D1.csv
2020-03-26,6596.97,6780.76,6514.25,6716.59,344740,0,3,00:00:00,BTCUSD_D1.csv
2020-03-27,6716.59,6839.59,6571.78,6676.08,279035,0,3,00:00:00,BTCUSD_D1.csv
2020-03-28,6676.16,6679.19,6026.18,6215.88,351616,0,3,00:00:00,BTCUSD_D1.csv
2020-03-29,6216.33,6266.32,5872.35,5950.53,323558,0,3,00:00:00,BTCUSD_D1.csv
2020-03-30,5950.7,6496.3,5857.6,6464.76,318689,0,3,00:00:00,BTCUSD_D1.csv
2020-03-31,6464.76,6601.51,6325.53,6464.82,328791,0,3,00:00:00,BTCUSD_D1.csv
2020-04-01,6464.6,6486.99,6145.81,6332.74,327134,0,3,00:00:00,BTCUSD_D1.csv
2020-04-02,6332.75,7217.82,6332.75,6741.42,362995,0,3,00:00:00,BTCUSD_D1.csv
2020-04-03,6740.75,7040.69,6607.59,6696.58,366895,0,3,00:00:00,BTCUSD_D1.csv
2020-04-04,6696.62,6985.23,6644.63,6823.84,296847,0,3,00:00:00,BTCUSD_D1.csv
2020-04-05,6823.95,6896.59,6672.63,6751.58,344055,0,3,00:00:00,BTCUSD_D1.csv
2020-04-06,6751.59,7304.82,6715.69,7216.82,358187,0,3,00:00:00,BTCUSD_D1.csv
2020-04-07,7216.82,7454.2,7076.99,7123.46,366223,0,3,00:00:00,BTCUSD_D1.csv
2020-04-08,7123.46,7424.63,7087.16,7316.81,352498,0,3,00:00:00,BTCUSD_D1.csv
2020-04-09,7317.32,7388.81,7107.33,7295.58,354007,0,3,00:00:00,BTCUSD_D1.csv
2020-04-10,7295.62,7315.37,6739.99,6910.05,334032,0,3,00:00:00,BTCUSD_D1.csv
2020-04-11,6910.41,6943.89,6760.02,6784.77,321628,0,3,00:00:00,BTCUSD_D1.csv
2020-04-12,6784.78,7178.05,6768.81,7100.29,292881,0,3,00:00:00,BTCUSD_D1.csv
2020-04-13,7100.74,7134.01,6571.38,6810.61,305330,0,3,00:00:00,BTCUSD_D1.csv
2020-04-14,6810.61,6973.97,6755.75,6863.11,282241,0,3,00:00:00,BTCUSD_D1.csv
2020-04-15,6863.16,6933.34,6679.64,6738.58,279443,0,3,00:00:00,BTCUSD_D1.csv
2020-04-16,6738.59,7143.51,6470.53,7042.01,326119,0,3,00:00:00,BTCUSD_D1.csv
2020-04-17,7042.01,7193.19,6986.41,7051.85,332679,0,3,00:00:00,BTCUSD_D1.csv
2020-04-18,7051.58,7265.15,7015.33,7219.2,306161,0,3,00:00:00,BTCUSD_D1.csv
2020-04-19,7219.26,7290.74,7050.63,7136.16,265617,0,3,00:00:00,BTCUSD_D1.csv
2020-04-20,7136.32,7213.13,6750.77,6862.87,315281,0,3,00:00:00,BTCUSD_D1.csv
2020-04-21,6863.14,6934.83,6761.86,6881.98,339545,0,3,00:00:00,BTCUSD_D1.csv
2020-04-22,6885.23,7153.56,6815.8,7109.0,304574,0,3,00:00:00,BTCUSD_D1.csv
2020-04-23,7109.14,7731.75,7021.84,7533.04,305541,0,3,00:00:00,BTCUSD_D1.csv
2020-04-24,7533.05,7609.1,7393.88,7525.88,304478,0,3,00:00:00,BTCUSD_D1.csv
2020-04-25,7525.89,7701.42,7434.91,7545.55,275228,0,3,00:00:00,BTCUSD_D1.csv
2020-04-26,7545.55,7703.24,7473.99,7644.59,291652,0,3,00:00:00,BTCUSD_D1.csv
2020-04-27,7643.74,7791.94,7576.99,7693.58,327848,0,3,00:00:00,BTCUSD_D1.csv
2020-04-28,7693.52,7781.26,7654.48,7726.94,320284,0,3,00:00:00,BTCUSD_D1.csv
2020-04-29,7726.94,8938.37,7698.89,8911.05,334974,0,3,00:00:00,BTCUSD_D1.csv
2020-04-30,8911.81,9453.73,8401.06,8817.09,399878,0,3,00:00:00,BTCUSD_D1.csv
2020-05-01,8816.01,9055.2,8581.33,8725.58,420275,0,3,00:00:00,BTCUSD_D1.csv
2020-05-02,8725.63,9010.97,8725.63,8929.9,355223,0,3,00:00:00,BTCUSD_D1.csv
2020-05-03,8929.85,9188.81,8719.99,8844.91,370099,0,3,00:00:00,BTCUSD_D1.csv
2020-05-04,8844.92,8956.62,8526.37,8906.41,410751,0,3,00:00:00,BTCUSD_D1.csv
2020-05-05,8906.42,9105.28,8759.99,8941.33,374044,0,3,00:00:00,BTCUSD_D1.csv
2020-05-06,8941.39,9376.53,8908.48,9236.06,367645,0,3,00:00:00,BTCUSD_D1.csv
2020-05-07,9236.06,9955.21,9028.73,9795.45,410073,0,3,00:00:00,BTCUSD_D1.csv
2020-05-08,9796.05,10053.3,9719.19,9980.99,380550,0,3,00:00:00,BTCUSD_D1.csv
2020-05-09,9981.18,9996.05,9520.49,9658.46,298983,0,3,00:00:00,BTCUSD_D1.csv
2020-05-10,9658.76,9674.61,8140.61,8660.11,451456,0,3,00:00:00,BTCUSD_D1.csv
2020-05-11,8660.11,9158.71,8189.99,8634.59,439895,0,3,00:00:00,BTCUSD_D1.csv
2020-05-12,8632.78,8973.61,8455.57,8814.35,415911,0,3,00:00:00,BTCUSD_D1.csv
2020-05-13,8815.08,9327.69,8729.19,9284.87,380616,0,3,00:00:00,BTCUSD_D1.csv
2020-05-14,9285.59,9939.67,9253.46,9659.99,386615,0,3,00:00:00,BTCUSD_D1.csv
2020-05-15,9659.99,9848.7,9137.23,9254.6,392541,0,3,00:00:00,BTCUSD_D1.csv
2020-05-16,9254.2,9587.07,9218.36,9385.33,400858,0,3,00:00:00,BTCUSD_D1.csv
2020-05-17,9385.22,9883.19,9326.24,9741.65,365754,0,3,00:00:00,BTCUSD_D1.csv
2020-05-18,9741.65,9952.79,9465.16,9685.11,345938,0,3,00:00:00,BTCUSD_D1.csv
2020-05-19,9685.13,9897.64,9475.83,9688.36,322989,0,3,00:00:00,BTCUSD_D1.csv
2020-05-20,9688.6,9835.77,9319.28,9589.69,333549,0,3,00:00:00,BTCUSD_D1.csv
2020-05-21,9589.46,9589.57,8819.99,9055.71,409804,0,3,00:00:00,BTCUSD_D1.csv
2020-05-22,9055.72,9262.48,8939.68,9170.53,399701,0,3,00:00:00,BTCUSD_D1.csv
2020-05-23,9170.57,9306.03,9080.44,9229.99,376655,0,3,00:00:00,BTCUSD_D1.csv
2020-05-24,9229.99,9298.94,8854.99,9003.1,353045,0,3,00:00:00,BTCUSD_D1.csv
2020-05-25,9003.1,9081.12,8638.77,8910.85,379347,0,3,00:00:00,BTCUSD_D1.csv
2020-05-26,8910.87,9008.0,8700.57,8855.43,377346,0,3,00:00:00,BTCUSD_D1.csv
2020-05-27,8855.35,9224.59,8803.99,9160.03,379890,0,3,00:00:00,BTCUSD_D1.csv
2020-05-28,9160.01,9529.38,9054.55,9446.67,406229,0,151,00:00:00,BTCUSD_D1.csv
2020-05-29,9446.68,9617.74,9335.16,9418.56,393491,0,151,00:00:00,BTCUSD_D1.csv
2020-05-30,9418.56,9598.17,9329.87,9440.7,383258,0,151,00:00:00,BTCUSD_D1.csv
2020-05-31,9440.37,9736.58,9434.72,9504.3,384027,0,151,00:00:00,BTCUSD_D1.csv
2020-06-01,9504.31,9685.82,9389.25,9668.01,351799,0,151,00:00:00,BTCUSD_D1.csv
2020-06-02,9668.02,10355.5,9274.73,9519.07,331187,0,151,00:00:00,BTCUSD_D1.csv
2020-06-03,9519.09,9645.34,9396.11,9581.1,296529,0,151,00:00:00,BTCUSD_D1.csv
2020-06-04,9581.14,9879.28,9463.33,9782.03,316617,0,151,00:00:00,BTCUSD_D1.csv
2020-06-05,9779.33,9855.42,9597.2,9718.05,281271,0,151,00:00:00,BTCUSD_D1.csv
2020-06-06,9718.05,9734.3,9536.8,9700.06,250193,0,151,00:00:00,BTCUSD_D1.csv
2020-06-07,9700.06,9805.52,9375.44,9728.94,264957,0,151,00:00:00,BTCUSD_D1.csv
2020-06-08,9729.4,9800.96,9620.64,9698.43,243823,0,151,00:00:00,BTCUSD_D1.csv
2020-06-09,9698.51,9870.98,9554.75,9742.33,220118,0,151,00:00:00,BTCUSD_D1.csv
2020-06-10,9742.62,9983.21,9682.62,9860.57,229032,0,151,00:00:00,BTCUSD_D1.csv
2020-06-11,9860.58,9963.26,9087.59,9348.85,270403,0,151,00:00:00,BTCUSD_D1.csv
2020-06-12,9348.76,9555.16,9239.3,9463.88,266279,0,151,00:00:00,BTCUSD_D1.csv
2020-06-13,9463.83,9490.57,9350.4,9401.12,263961,0,151,00:00:00,BTCUSD_D1.csv
2020-06-14,9400.8,9478.83,9308.76,9381.39,181888,0,151,00:00:00,BTCUSD_D1.csv
2020-06-15,9381.41,9487.36,8909.7,9474.18,343918,0,151,00:00:00,BTCUSD_D1.csv
2020-06-16,9474.18,9586.84,9373.45,9491.98,307700,0,151,00:00:00,BTCUSD_D1.csv
2020-06-17,9491.99,9564.23,9239.97,9380.86,288384,0,151,00:00:00,BTCUSD_D1.csv
2020-06-18,9380.63,9485.25,9308.31,9346.26,263916,0,151,00:00:00,BTCUSD_D1.csv
2020-06-19,9346.26,9438.86,9239.73,9325.36,284383,0,151,00:00:00,BTCUSD_D1.csv
2020-06-20,9325.37,9371.55,9169.26,9317.37,277612,0,151,00:00:00,BTCUSD_D1.csv
2020-06-21,9317.37,9418.28,9301.75,9323.05,243439,0,151,00:00:00,BTCUSD_D1.csv
2020-06-22,9323.03,9659.11,9275.36,9637.3,266242,0,151,00:00:00,BTCUSD_D1.csv
2020-06-23,9637.15,9790.47,9577.95,9624.64,254263,0,151,00:00:00,BTCUSD_D1.csv
2020-06-24,9625.81,9669.24,9205.19,9300.97,242579,0,151,00:00:00,BTCUSD_D1.csv
2020-06-25,9300.97,9329.85,9003.69,9278.62,244403,0,151,00:00:00,BTCUSD_D1.csv
2020-06-26,9278.4,9339.95,9044.77,9193.82,252194,0,151,00:00:00,BTCUSD_D1.csv
2020-06-27,9194.35,9215.49,8824.25,8953.52,243703,0,151,00:00:00,BTCUSD_D1.csv
2020-06-28,8953.57,9189.07,8937.5,9112.05,240647,0,151,00:00:00,BTCUSD_D1.csv
2020-06-29,9112.05,9192.35,9027.84,9181.94,231078,0,151,00:00:00,BTCUSD_D1.csv
2020-06-30,9181.96,9234.52,9063.85,9148.9,241767,0,151,00:00:00,BTCUSD_D1.csv
2020-07-01,9149.82,9289.96,9091.87,9232.35,222408,0,151,00:00:00,BTCUSD_D1.csv
2020-07-02,9232.35,9259.92,8941.45,9075.8,254402,0,151,00:00:00,BTCUSD_D1.csv
2020-07-03,9075.8,9150.55,9040.26,9084.29,224145,0,151,00:00:00,BTCUSD_D1.csv
2020-07-04,9084.3,9188.16,9039.25,9125.93,239921,0,151,00:00:00,BTCUSD_D1.csv
2020-07-05,9125.97,9144.67,8987.94,9011.93,226327,0,151,00:00:00,BTCUSD_D1.csv
2020-07-06,9011.95,9347.19,8904.3,9275.39,246596,0,151,00:00:00,BTCUSD_D1.csv
2020-07-07,9275.4,9375.88,9203.63,9250.56,247834,0,151,00:00:00,BTCUSD_D1.csv
2020-07-08,9250.58,9468.56,9230.08,9429.67,258696,0,151,00:00:00,BTCUSD_D1.csv
2020-07-09,9429.68,9465.63,9159.0,9233.51,259014,0,151,00:00:00,BTCUSD_D1.csv
2020-07-10,9233.56,9253.24,9124.53,9232.19,159123,0,151,00:00:00,BTCUSD_D1.csv
2020-07-11,9232.3,9315.98,9179.29,9215.44,164251,0,151,00:00:00,BTCUSD_D1.csv
2020-07-12,9215.44,9346.18,9159.25,9229.64,179143,0,151,00:00:00,BTCUSD_D1.csv
2020-07-13,9229.67,9341.09,9189.95,9250.77,161035,0,151,00:00:00,BTCUSD_D1.csv
2020-07-14,9250.77,9275.27,9108.81,9271.39,181651,0,151,00:00:00,BTCUSD_D1.csv
2020-07-15,9271.4,9276.42,9162.54,9219.72,141925,0,151,00:00:00,BTCUSD_D1.csv
2020-07-16,9219.48,9235.32,9039.25,9109.98,142036,0,151,00:00:00,BTCUSD_D1.csv
2020-07-17,9109.98,9184.06,9088.25,9155.54,167763,0,151,00:00:00,BTCUSD_D1.csv
2020-07-18,9155.44,9207.01,9123.8,9169.35,167912,0,151,00:00:00,BTCUSD_D1.csv
2020-07-19,9169.42,9180.6,9104.25,9163.2,167577,0,151,00:00:00,BTCUSD_D1.csv
2020-07-20,9163.36,9240.7,9132.75,9169.74,153409,0,151,00:00:00,BTCUSD_D1.csv
2020-07-21,9169.74,9432.3,9144.85,9369.27,210223,0,151,00:00:00,BTCUSD_D1.csv
2020-07-22,9369.3,9391.01,9276.57,9367.14,173113,0,151,00:00:00,BTCUSD_D1.csv
2020-07-23,9367.02,9664.52,9360.56,9578.24,210276,0,151,00:00:00,BTCUSD_D1.csv
2020-07-24,9578.26,9618.74,9465.11,9611.72,168668,0,151,00:00:00,BTCUSD_D1.csv
2020-07-25,9611.72,9732.1,9509.25,9712.64,205105,0,151,00:00:00,BTCUSD_D1.csv
2020-07-26,9712.65,10148.19,9650.78,9886.99,257905,0,151,00:00:00,BTCUSD_D1.csv
2020-07-27,9887.0,10930.66,9873.92,10867.14,303559,0,151,00:00:00,BTCUSD_D1.csv
2020-07-28,10867.16,11372.72,10568.15,10963.67,368024,0,151,00:00:00,BTCUSD_D1.csv
2020-07-29,10963.64,11283.92,10833.34,11209.17,313497,0,151,00:00:00,BTCUSD_D1.csv
2020-07-30,11209.17,11341.89,10834.52,11138.96,277572,0,151,00:00:00,BTCUSD_D1.csv
2020-07-31,11138.97,11437.6,10962.72,11326.42,288252,0,151,00:00:00,BTCUSD_D1.csv
2020-08-01,11326.42,11854.07,11220.05,11832.81,332280,0,151,00:00:00,BTCUSD_D1.csv
2020-08-02,11832.97,12108.51,10523.78,11091.87,350550,0,151,00:00:00,BTCUSD_D1.csv
2020-08-03,11091.95,11473.7,10934.56,11373.3,303957,0,151,00:00:00,BTCUSD_D1.csv
2020-08-04,11373.51,11408.99,11010.25,11211.84,323347,0,151,00:00:00,BTCUSD_D1.csv
2020-08-05,11212.18,11709.35,11084.81,11679.57,308653,0,151,00:00:00,BTCUSD_D1.csv
2020-08-06,11679.57,11899.05,11504.25,11830.48,282227,0,151,00:00:00,BTCUSD_D1.csv
2020-08-07,11830.48,11904.03,11323.2,11559.07,270033,0,151,00:00:00,BTCUSD_D1.csv
2020-08-08,11557.91,11805.1,11515.77,11711.14,221013,0,151,00:00:00,BTCUSD_D1.csv
2020-08-09,11711.15,11794.47,11524.93,11668.66,202389,0,151,00:00:00,BTCUSD_D1.csv
2020-08-10,11668.95,12058.98,11473.31,11840.44,245699,0,151,00:00:00,BTCUSD_D1.csv
2020-08-11,11840.24,11929.82,11127.51,11203.25,270052,0,151,00:00:00,BTCUSD_D1.csv
2020-08-12,11203.26,11615.47,11125.29,11558.97,276111,0,151,00:00:00,BTCUSD_D1.csv
2020-08-13,11558.44,11662.36,11267.24,11604.9,274572,0,151,00:00:00,BTCUSD_D1.csv
2020-08-14,11604.66,11856.46,11585.94,11761.64,283945,0,151,00:00:00,BTCUSD_D1.csv
2020-08-15,11761.64,11986.72,11686.26,11861.59,255732,0,151,00:00:00,BTCUSD_D1.csv
2020-08-16,11861.59,11969.81,11692.25,11841.03,265970,0,151,00:00:00,BTCUSD_D1.csv
2020-08-17,11841.02,12454.46,11770.93,12309.71,327521,0,151,00:00:00,BTCUSD_D1.csv
2020-08-18,12309.7,12394.77,11803.48,12025.12,356188,0,151,00:00:00,BTCUSD_D1.csv
2020-08-19,12025.12,12087.87,11560.06,11707.98,363100,0,151,00:00:00,BTCUSD_D1.csv
2020-08-20,11708.27,11877.67,11661.78,11855.69,294665,0,151,00:00:00,BTCUSD_D1.csv
2020-08-21,11855.69,11883.13,11603.58,11617.19,252537,0,151,00:00:00,BTCUSD_D1.csv
2020-08-22,11615.8,11651.82,11379.23,11606.88,233622,0,151,00:00:00,BTCUSD_D1.csv
2020-08-23,11606.81,11711.73,11513.63,11668.16,228146,0,151,00:00:00,BTCUSD_D1.csv
2020-08-24,11668.15,11828.83,11586.5,11725.71,218480,0,151,00:00:00,BTCUSD_D1.csv
2020-08-25,11725.79,11784.62,11114.22,11257.59,267341,0,151,00:00:00,BTCUSD_D1.csv
2020-08-26,11257.58,11536.5,11244.07,11500.79,256450,0,151,00:00:00,BTCUSD_D1.csv
2020-08-27,11500.8,11587.53,11124.25,11257.65,271808,0,151,00:00:00,BTCUSD_D1.csv
2020-08-28,11257.64,11542.96,11242.48,11489.02,251917,0,151,00:00:00,BTCUSD_D1.csv
2020-08-29,11489.06,11577.13,11416.76,11513.74,192145,0,151,00:00:00,BTCUSD_D1.csv
2020-08-30,11513.74,11685.24,11458.26,11634.89,216710,0,151,00:00:00,BTCUSD_D1.csv
2020-08-31,11634.99,11769.46,11572.75,11667.55,232662,0,151,00:00:00,BTCUSD_D1.csv
2020-09-01,11667.55,12046.0,11526.36,12001.33,273009,0,151,00:00:00,BTCUSD_D1.csv
2020-09-02,12001.61,12047.27,11149.25,11355.26,307149,0,151,00:00:00,BTCUSD_D1.csv
2020-09-03,11355.27,11461.92,10476.25,10773.6,335478,0,151,00:00:00,BTCUSD_D1.csv
2020-09-04,10773.6,10799.26,9895.74,10586.5,372374,0,151,00:00:00,BTCUSD_D1.csv
2020-09-05,10586.51,10623.46,9834.21,10081.7,376983,0,151,00:00:00,BTCUSD_D1.csv
2020-09-06,10082.29,10300.24,9960.13,10225.35,366075,0,151,00:00:00,BTCUSD_D1.csv
2020-09-07,10225.2,10346.16,9872.62,10148.04,337619,0,151,00:00:00,BTCUSD_D1.csv
2020-09-08,10148.06,10435.61,9891.29,10012.49,323865,0,151,00:00:00,BTCUSD_D1.csv
2020-09-09,10012.49,10340.18,9849.25,10252.27,282463,0,151,00:00:00,BTCUSD_D1.csv
2020-09-10,10251.76,10482.41,10170.24,10296.78,306169,0,151,00:00:00,BTCUSD_D1.csv
2020-09-11,10296.78,10380.01,10195.41,10321.27,284507,0,151,00:00:00,BTCUSD_D1.csv
2020-09-12,10321.34,10481.84,10269.25,10438.88,284870,0,151,00:00:00,BTCUSD_D1.csv
2020-09-13,10438.87,10580.97,10219.25,10313.12,267462,0,151,00:00:00,BTCUSD_D1.csv
2020-09-14,10313.14,10755.55,10242.73,10686.48,311931,0,151,00:00:00,BTCUSD_D1.csv
2020-09-15,10686.49,10928.86,10612.69,10860.99,280487,0,151,00:00:00,BTCUSD_D1.csv
2020-09-16,10861.03,11089.93,10669.31,10995.09,287915,0,151,00:00:00,BTCUSD_D1.csv
2020-09-17,10995.11,11045.14,10744.79,10930.86,313735,0,151,00:00:00,BTCUSD_D1.csv
2020-09-18,10930.86,11036.19,10812.92,10886.28,267504,0,151,00:00:00,BTCUSD_D1.csv
