Date,Open,High,Low,Close,<TICKVOL>,Volume,<SPREAD>,Time,Filename
2020-01-01,7184.83,7258.21,7176.43,7234.96,330054,0,3,00:00:00,BTCUSD_D1.csv
2020-01-02,7234.96,7235.48,6933.99,6976.97,354250,0,3,00:00:00,BTCUSD_D1.csv
2020-01-03,6976.98,7405.23,6872.91,7282.11,425525,0,3,00:00:00,BTCUSD_D1.csv
2020-01-04,7282.05,7402.87,7261.74,7348.39,340570,0,3,00:00:00,BTCUSD_D1.csv
2020-01-05,7348.65,7495.61,7328.41,7369.54,328864,0,3,00:00:00,BTCUSD_D1.csv
2020-01-06,7369.53,7609.73,7322.29,7576.17,306315,0,3,00:00:00,BTCUSD_D1.csv
2020-01-07,7576.06,8187.96,7575.63,8014.77,451082,0,3,00:00:00,BTCUSD_D1.csv
2020-01-08,8014.78,8452.83,7872.43,8018.45,491341,0,3,00:00:00,BTCUSD_D1.csv
2020-01-09,8018.45,8119.98,7750.51,7792.43,479687,0,3,00:00:00,BTCUSD_D1.csv
2020-01-10,7792.43,8137.24,7678.03,8047.16,462726,0,3,00:00:00,BTCUSD_D1.csv
2020-01-11,8047.16,8283.13,7986.7,8104.03,473266,0,3,00:00:00,BTCUSD_D1.csv
2020-01-12,8104.04,8194.23,7962.84,8104.99,488165,0,3,00:00:00,BTCUSD_D1.csv
2020-01-13,8104.99,8194.52,8056.44,8134.32,401985,0,3,00:00:00,BTCUSD_D1.csv
2020-01-14,8134.32,8855.25,8101.02,8735.68,553347,0,3,00:00:00,BTCUSD_D1.csv
2020-01-15,8734.49,8914.87,8569.01,8828.28,599412,0,3,00:00:00,BTCUSD_D1.csv
2020-01-16,8828.29,8872.07,8590.34,8690.78,585915,0,3,00:00:00,BTCUSD_D1.csv
2020-01-17,8690.47,9026.62,8674.99,8923.78,445656,0,3,00:00:00,BTCUSD_D1.csv
2020-01-18,8923.78,8990.2,8808.68,8919.71,545654,0,3,00:00:00,BTCUSD_D1.csv
2020-01-19,8919.72,9197.54,8511.5,8722.44,459921,0,3,00:00:00,BTCUSD_D1.csv
2020-01-20,8723.89,8748.76,8493.99,8690.53,517105,0,3,00:00:00,BTCUSD_D1.csv
2020-01-21,8690.53,8781.29,8498.58,8731.03,428060,0,3,00:00:00,BTCUSD_D1.csv
2020-01-22,8731.07,8816.0,8594.65,8659.95,363326,0,0,00:00:00,BTCUSD_D1.csv
2020-01-23,8659.9,8692.74,8305.11,8399.47,509053,0,3,00:00:00,BTCUSD_D1.csv
2020-01-24,8399.22,8528.9,8240.66,8510.79,536365,0,3,00:00:00,BTCUSD_D1.csv
2020-01-25,8510.6,8516.14,8272.8,8388.17,339060,0,3,00:00:00,BTCUSD_D1.csv
2020-01-26,8387.83,8611.63,8292.98,8601.28,355233,0,3,00:00:00,BTCUSD_D1.csv
2020-01-27,8600.87,8999.98,8555.35,8967.35,356764,0,3,00:00:00,BTCUSD_D1.csv
2020-01-28,8967.62,9187.0,8889.18,9047.26,343930,0,3,00:00:00,BTCUSD_D1.csv
2020-01-29,9046.71,9438.34,9045.78,9378.33,365919,0,3,00:00:00,BTCUSD_D1.csv
2020-01-30,9378.33,9574.19,9203.44,9562.8,373433,0,3,00:00:00,BTCUSD_D1.csv
2020-01-31,9562.8,9574.19,9204.64,9365.75,270779,0,3,00:00:00,BTCUSD_D1.csv
2020-02-01,9365.75,9470.52,9298.57,9378.76,194755,0,3,00:00:00,BTCUSD_D1.csv
2020-02-02,9378.69,9477.57,9158.76,9445.15,209437,0,3,00:00:00,BTCUSD_D1.csv
2020-02-03,9445.25,9609.15,9233.57,9290.56,221932,0,3,00:00:00,BTCUSD_D1.csv
2020-02-04,9290.27,9353.48,9095.67,9166.25,213639,0,3,00:00:00,BTCUSD_D1.csv
2020-02-05,9166.27,9741.69,9161.47,9693.19,237826,0,3,00:00:00,BTCUSD_D1.csv
2020-02-06,9692.16,9863.37,9525.84,9748.72,233686,0,3,00:00:00,BTCUSD_D1.csv
2020-02-07,9748.71,9884.91,9668.02,9760.21,239678,0,3,00:00:00,BTCUSD_D1.csv
2020-02-08,9760.21,9940.84,9669.99,9912.31,201010,0,3,00:00:00,BTCUSD_D1.csv
