Date,Time,Open,High,Low,Close,Volume,Filename
2024-02-26,07:10:00,51539.21,51547.03,51521.04,51524.7,255,BTCUSD5.csv
2024-02-26,07:15:00,51524.76,51524.76,51486.34,51508.67,302,BTCUSD5.csv
2024-02-26,07:20:00,51508.66,51508.66,51478.75,51480.77,126,BTCUSD5.csv
2024-02-26,07:25:00,51480.63,51480.63,51430.58,51442.84,275,BTCUSD5.csv
2024-02-26,07:30:00,51442.39,51523.15,51427.85,51523.15,292,BTCUSD5.csv
2024-02-26,07:35:00,51529.61,51547.44,51511.53,51537.32,241,BTCUSD5.csv
2024-02-26,07:40:00,51536.77,51572.09,51532.97,51566.74,317,BTCUSD5.csv
2024-02-26,07:45:00,51566.74,51591.75,51566.74,51587.39,343,BTCUSD5.csv
2024-02-26,07:50:00,51587.24,51587.34,51563.29,51563.29,241,BTCUSD5.csv
2024-02-26,07:55:00,51561.33,51567.28,51553.78,51565.09,275,BTCUSD5.csv
2024-02-26,08:00:00,51565.11,51585.98,51565.11,51585.84,281,BTCUSD5.csv
2024-02-26,08:05:00,51585.76,51594.43,51556.33,51559.03,338,BTCUSD5.csv
2024-02-26,08:10:00,51559.38,51569.29,51535.73,51535.77,412,BTCUSD5.csv
2024-02-26,08:15:00,51535.79,51535.95,51511.3,51511.48,319,BTCUSD5.csv
2024-02-26,08:20:00,51511.26,51511.6,51497.38,51503.74,315,BTCUSD5.csv
2024-02-26,08:25:00,51503.74,51506.07,51483.58,51496.41,410,BTCUSD5.csv
2024-02-26,08:30:00,51496.7,51509.86,51494.28,51494.95,266,BTCUSD5.csv
2024-02-26,08:35:00,51494.95,51496.35,51492.33,51492.46,358,BTCUSD5.csv
2024-02-26,08:40:00,51492.45,51492.53,51489.08,51491.36,251,BTCUSD5.csv
2024-02-26,08:45:00,51491.36,51525.5,51490.69,51524.3,350,BTCUSD5.csv
2024-02-26,08:50:00,51524.3,51526.17,51495.14,51495.59,370,BTCUSD5.csv
2024-02-26,08:55:00,51495.61,51518.93,51495.61,51516.87,396,BTCUSD5.csv
2024-02-26,09:00:00,51516.87,51518.41,51468.23,51472.22,278,BTCUSD5.csv
2024-02-26,09:05:00,51471.94,51472.02,51449.96,51449.96,313,BTCUSD5.csv
2024-02-26,09:10:00,51449.96,51449.97,51424.77,51431.45,339,BTCUSD5.csv
2024-02-26,09:15:00,51431.44,51446.61,51410.97,51437.56,397,BTCUSD5.csv
2024-02-26,09:20:00,51437.59,51458.29,51431.81,51439.36,300,BTCUSD5.csv
2024-02-26,09:25:00,51439.36,51440.76,51419.23,51422.24,321,BTCUSD5.csv
2024-02-26,09:30:00,51419.28,51419.49,51384.76,51390.66,353,BTCUSD5.csv
2024-02-26,09:35:00,51390.39,51391.57,51342.14,51342.33,356,BTCUSD5.csv
2024-02-26,09:40:00,51341.9,51356.54,51319.62,51330.71,407,BTCUSD5.csv
2024-02-26,09:45:00,51331.41,51370.21,51331.41,51363.31,405,BTCUSD5.csv
2024-02-26,09:50:00,51363.31,51363.61,51313.91,51314.5,427,BTCUSD5.csv
2024-02-26,09:55:00,51314.5,51314.79,51283.1,51287.2,397,BTCUSD5.csv
2024-02-26,10:00:00,51287.1,51321.73,51284.76,51321.72,388,BTCUSD5.csv
2024-02-26,10:05:00,51321.73,51344.12,51299.57,51299.57,390,BTCUSD5.csv
