Date,Open,High,Low,Close,Volume ,Filename,Time
2024-01-05,238.29,238.49,237.97,238.2,779900.0,TXT\tsla_m5.csv,14:35:00
2024-01-05,238.2,238.45,238.0,238.0102,677100.0,TXT\tsla_m5.csv,14:40:00
2024-01-05,238.0102,238.0499,237.62,237.845,818200.0,TXT\tsla_m5.csv,14:45:00
2024-01-05,237.845,238.05,237.7,237.85,769400.0,TXT\tsla_m5.csv,14:50:00
2024-01-05,237.85,237.94,237.16,237.24,917400.0,TXT\tsla_m5.csv,14:55:00
2024-01-05,237.24,237.44,236.9,237.085,940900.0,TXT\tsla_m5.csv,15:00:00
2024-01-05,237.1,237.33,236.72,236.8,917000.0,TXT\tsla_m5.csv,15:05:00
2024-01-05,236.8149,237.25,236.7,237.18,841000.0,TXT\tsla_m5.csv,15:10:00
2024-01-05,237.18,237.58,237.1701,237.4201,685900.0,TXT\tsla_m5.csv,15:15:00
2024-01-05,237.4283,237.55,237.16,237.2215,594000.0,TXT\tsla_m5.csv,15:20:00
2024-01-05,237.2215,237.59,237.22,237.4424,624200.0,TXT\tsla_m5.csv,15:25:00
2024-01-05,237.44,237.45,236.75,236.96,856700.0,TXT\tsla_m5.csv,15:30:00
2024-01-05,236.96,237.12,236.79,237.082,701600.0,TXT\tsla_m5.csv,15:35:00
2024-01-05,237.1035,237.2899,236.87,237.135,922800.0,TXT\tsla_m5.csv,15:40:00
2024-01-05,237.135,237.299,236.8,237.299,806200.0,TXT\tsla_m5.csv,15:45:00
2024-01-05,237.299,237.7599,237.13,237.655,1146500.0,TXT\tsla_m5.csv,15:50:00
2024-01-05,237.655,237.84,237.3661,237.58,883100.0,TXT\tsla_m5.csv,15:55:00
2024-01-05,237.58,237.725,237.36,237.431,1299100.0,TXT\tsla_m5.csv,16:00:00
2024-01-08,235.98,238.04,235.3,237.47,3521000.0,TXT\tsla_m5.csv,09:35:00
2024-01-08,237.47,237.5,236.34,236.535,2033600.0,TXT\tsla_m5.csv,09:40:00
2024-01-08,236.5206,237.2,235.7801,236.3961,2241100.0,TXT\tsla_m5.csv,09:45:00
2024-01-08,236.3961,237.49,236.38,236.7858,2241700.0,TXT\tsla_m5.csv,09:50:00
2024-01-08,236.7858,238.6186,236.73,238.505,2410800.0,TXT\tsla_m5.csv,09:55:00
2024-01-08,238.52,239.2,238.08,238.5457,2000200.0,TXT\tsla_m5.csv,10:00:00
2024-01-08,238.5457,238.62,237.48,238.0301,1975000.0,TXT\tsla_m5.csv,10:05:00
2024-01-08,238.035,238.43,237.39,237.7245,1546300.0,TXT\tsla_m5.csv,10:10:00
2024-01-08,237.7245,237.7899,236.76,236.88,1627300.0,TXT\tsla_m5.csv,10:15:00
2024-01-08,236.88,237.05,236.25,236.62,1548000.0,TXT\tsla_m5.csv,10:20:00
2024-01-08,236.62,236.83,235.97,236.43,1659600.0,TXT\tsla_m5.csv,10:25:00
2024-01-08,236.43,236.98,236.2401,236.93,1226500.0,TXT\tsla_m5.csv,10:30:00
2024-01-08,236.93,237.42,236.8,237.35,1366500.0,TXT\tsla_m5.csv,10:35:00
2024-01-08,237.35,237.36,236.0501,236.35,1335200.0,TXT\tsla_m5.csv,10:40:00
2024-01-08,236.35,236.7199,236.19,236.52,1175800.0,TXT\tsla_m5.csv,10:45:00
2024-01-08,236.5128,237.2499,236.42,236.945,1086400.0,TXT\tsla_m5.csv,10:50:00
2024-01-08,236.995,237.33,236.91,237.2513,947100.0,TXT\tsla_m5.csv,10:55:00
2024-01-08,237.2513,237.28,236.36,236.65,1067400.0,TXT\tsla_m5.csv,11:00:00
