Date,Open,High,Low,Close,Volume ,Filename
20/02/2018 00:00:00,22.3,22.72,22.1,22.32,60117600.0,TXT\tsla_D1.csv
21/02/2018 00:00:00,22.4,22.65,22.21,22.22,48281000.0,TXT\tsla_D1.csv
22/02/2018 00:00:00,22.37,23.16,22.32,23.08,104525500.0,TXT\tsla_D1.csv
23/02/2018 00:00:00,23.19,23.67,23.14,23.47,87246900.0,TXT\tsla_D1.csv
26/02/2018 00:00:00,23.57,23.93,23.49,23.83,65082600.0,TXT\tsla_D1.csv
27/02/2018 00:00:00,23.75,24.0,23.33,23.4,71925700.0,TXT\tsla_D1.csv
28/02/2018 00:00:00,23.5,23.68,22.81,22.87,91040400.0,TXT\tsla_D1.csv
01/03/2018 00:00:00,23.0,23.24,22.0,22.06,103277500.0,TXT\tsla_D1.csv
02/03/2018 00:00:00,21.8,22.35,21.53,22.34,76380800.0,TXT\tsla_D1.csv
05/03/2018 00:00:00,22.2,22.52,21.95,22.22,57350100.0,TXT\tsla_D1.csv
06/03/2018 00:00:00,22.25,22.42,21.8,21.88,64217100.0,TXT\tsla_D1.csv
07/03/2018 00:00:00,21.7,22.17,21.45,22.15,75092200.0,TXT\tsla_D1.csv
08/03/2018 00:00:00,22.2,22.22,21.75,21.94,53406500.0,TXT\tsla_D1.csv
09/03/2018 00:00:00,21.63,21.9,21.49,21.81,82590800.0,TXT\tsla_D1.csv
12/03/2018 00:00:00,21.93,23.15,21.77,23.03,123944700.0,TXT\tsla_D1.csv
13/03/2018 00:00:00,23.01,23.01,22.42,22.79,89472900.0,TXT\tsla_D1.csv
14/03/2018 00:00:00,22.49,22.65,21.6,21.78,119464200.0,TXT\tsla_D1.csv
15/03/2018 00:00:00,21.96,22.19,21.41,21.71,98428000.0,TXT\tsla_D1.csv
16/03/2018 00:00:00,21.75,21.83,21.27,21.42,91734900.0,TXT\tsla_D1.csv
19/03/2018 00:00:00,21.1,21.38,20.64,20.9,112246100.0,TXT\tsla_D1.csv
20/03/2018 00:00:00,20.99,21.08,20.58,20.7,71453200.0,TXT\tsla_D1.csv
21/03/2018 00:00:00,20.68,21.5,20.68,21.1,89364900.0,TXT\tsla_D1.csv
22/03/2018 00:00:00,20.93,21.25,20.55,20.61,73995700.0,TXT\tsla_D1.csv
23/03/2018 00:00:00,20.75,20.77,20.03,20.1,99808000.0,TXT\tsla_D1.csv
26/03/2018 00:00:00,20.49,20.51,19.42,20.28,125594800.0,TXT\tsla_D1.csv
27/03/2018 00:00:00,20.27,20.28,18.48,18.61,207914100.0,TXT\tsla_D1.csv
28/03/2018 00:00:00,17.64,17.91,16.81,17.19,314938600.0,TXT\tsla_D1.csv
29/03/2018 00:00:00,17.09,18.06,16.55,17.74,227318300.0,TXT\tsla_D1.csv
02/04/2018 00:00:00,17.07,17.36,16.31,16.83,241646400.0,TXT\tsla_D1.csv
