Date,Open,High,Low,Close,Pivot Points,VWAP,Volume ,Moving Average 20
09/01/2024 09:35:00,15.65,16,15.3101,15.97,15.97,,310200,38340
09/01/2024 09:40:00,15.97,16.21,15.84,16.2,16.2,15.8088,96100,42600
09/01/2024 09:45:00,16.2005,16.36,16.0701,16.21,16.21,15.88217,90900,43275
09/01/2024 09:50:00,16.21,16.25,16.015,16.03,16.03,15.90476,50700,45410
09/01/2024 09:55:00,16.03,16.2,16.03,16.15,16.15,15.92544,64000,48235
09/01/2024 10:00:00,16.15,16.25,16.11,16.195,16.195,15.94439,50000,50640
09/01/2024 10:05:00,16.195,16.21,16.095,16.15,16.15,15.95784,43500,52280
09/01/2024 10:10:00,16.15,16.16,16.011,16.08,16.08,15.97034,67900,55080
09/01/2024 10:15:00,16.08,16.13,16.05,16.1,16.1,15.97893,59800,56995
09/01/2024 10:20:00,16.09,16.185,16.0606,16.15,16.15,15.98717,51100,58725
09/01/2024 10:25:00,16.16,16.28,16.15,16.19,16.19,15.99959,56200,60990
09/01/2024 10:30:00,16.19,16.255,16.17,16.18,16.18,16.01552,81800,64505
09/01/2024 10:35:00,16.1809,16.185,16.03,16.075,16.075,16.02135,61800,66940
09/01/2024 10:40:00,16.075,16.14,16.07,16.14,16.14,16.0239,33500,68125
09/01/2024 10:45:00,16.14,16.16,16.11,16.155,16.155,16.02713,31700,68600
09/01/2024 10:50:00,16.155,16.17,16.11,16.16,16.16,16.02989,26700,68900
09/01/2024 10:55:00,16.16,16.16,16.035,16.06,16.06,16.03363,62700,71100
09/01/2024 11:00:00,16.06,16.16,16.06,16.16,16.16,16.03526,26900,71445
09/01/2024 11:05:00,16.1521,16.185,16.1521,16.185,16.185,16.04165,63800,70285
09/01/2024 11:10:00,16.185,16.245,16.175,16.195,16.195,16.04639,41000,68515
09/01/2024 11:15:00,16.195,16.195,16.105,16.105,16.105,16.04878,32400,54625
09/01/2024 11:20:00,16.105,16.135,16.085,16.13,16.13,16.05046,37100,51675
09/01/2024 11:25:00,16.125,16.16,16.105,16.155,16.155,16.0529,42100,49235
09/01/2024 11:30:00,16.1512,16.155,16.1,16.115,16.115,16.05431,27600,48080
09/01/2024 11:35:00,16.115,16.155,16.0991,16.105,16.105,16.05511,19000,45830
09/01/2024 11:40:00,16.105,16.135,16.09,16.115,16.115,16.05613,28400,44750
09/01/2024 11:45:00,16.115,16.1187,16.065,16.085,16.085,16.05708,37900,44470
09/01/2024 11:50:00,16.085,16.1099,16.08,16.095,16.095,16.05804,44400,43295
09/01/2024 11:55:00,16.095,16.14,16.0918,16.125,16.125,16.05975,52600,42935
09/01/2024 12:00:00,16.125,16.165,16.125,16.135,16.135,16.06185,47000,42730
09/01/2024 12:05:00,16.135,16.145,16.085,16.129,16.129,16.06292,30800,41460
09/01/2024 12:10:00,16.129,16.14,16.07,16.105,16.105,16.06379,32600,39000
09/01/2024 12:15:00,16.105,16.14,16.105,16.135,16.135,16.0648,32400,37530
09/01/2024 12:20:00,16.135,16.1599,16.13,16.155,16.155,16.06643,37900,37750
09/01/2024 12:25:00,16.155,16.1599,16.13,16.14,16.14,16.06864,53300,38830
09/01/2024 12:30:00,16.14,16.155,16.135,16.155,16.155,16.06945,20500,38520
09/01/2024 12:35:00,16.155,16.1597,16.07,16.08,16.08,16.07044,42200,37495
09/01/2024 12:40:00,16.071,16.08,15.96,15.975,15.975,16.06903,59300,39115
09/01/2024 12:45:00,15.975,16,15.885,15.965,15.965,16.06641,48700,38360
09/01/2024 12:50:00,15.965,16.06,15.915,16.05,16.05,16.06483,49200,38770
09/01/2024 12:55:00,16.05,16.05,15.99,16.005,16.005,16.06449,17900,38045
09/01/2024 13:00:00,16.005,16.02,15.9644,16.01,16.01,16.06366,28100,37595
09/01/2024 13:05:00,16.01,16.105,16.005,16.105,16.105,16.06355,33200,37150
09/01/2024 13:10:00,16.105,16.11,16.035,16.09,16.09,16.06376,22000,36870
09/01/2024 13:15:00,16.09,16.15,16.07,16.115,16.115,16.06475,53600,38600
