Date,Open,High,Low,Close,Volume 
16/02/2018 00:00:00,186.25,188.6,185.45,185.56,845900
20/02/2018 00:00:00,184.29,186.11,183.05,184.67,692900
21/02/2018 00:00:00,184.58,187.67,183.81,183.95,604000
22/02/2018 00:00:00,184.71,187.57,183.66,185.29,658400
23/02/2018 00:00:00,186.7,186.7,183.29,185.47,602100
26/02/2018 00:00:00,186.39,188.7,185.28,188.37,928600
27/02/2018 00:00:00,188.32,188.77,184.52,184.6,725000
28/02/2018 00:00:00,185.82,185.82,180.74,180.8,988600
01/03/2018 00:00:00,180.55,181.46,175.33,176.17,1275100
02/03/2018 00:00:00,175.12,179.21,172.72,178.62,1218000
05/03/2018 00:00:00,177.29,181.44,176.79,181.11,842200
06/03/2018 00:00:00,182.46,183.45,180.11,181.5,753400
07/03/2018 00:00:00,179.34,183.12,178.37,182.1,766500
08/03/2018 00:00:00,182.76,184.25,181.11,183.85,805300
09/03/2018 00:00:00,185.21,189.19,184.69,189.13,691900
12/03/2018 00:00:00,189,189.3,186.58,187.9,701000
13/03/2018 00:00:00,188.59,189.05,184.84,185.42,753500
14/03/2018 00:00:00,186.77,187.05,183.06,183.41,674000
15/03/2018 00:00:00,183.78,184.11,181,181.76,812000
16/03/2018 00:00:00,181.74,184.58,181.03,183.98,1487000
19/03/2018 00:00:00,183.46,183.82,180.6,182.01,525000
20/03/2018 00:00:00,182.96,184.59,182.09,182.26,470600
21/03/2018 00:00:00,182.38,183.85,181.16,181.38,525600
22/03/2018 00:00:00,179.06,181.26,175.79,175.96,815600
23/03/2018 00:00:00,176.4,176.92,170.63,171.01,1084600
26/03/2018 00:00:00,173.76,178.14,172.74,177.05,1166300
27/03/2018 00:00:00,177.25,177.31,172.44,173.21,1048100
28/03/2018 00:00:00,176.22,176.4,173.8,174.7,1078100
29/03/2018 00:00:00,175.14,177.64,174.2,174.2,1205200
02/04/2018 00:00:00,173.81,174.38,167.04,168.97,1310200
03/04/2018 00:00:00,168.99,172.86,168.98,172.77,1215500
04/04/2018 00:00:00,169.2,173.85,168.78,173.34,1501900
05/04/2018 00:00:00,174.57,175.73,173.32,174.93,848700
06/04/2018 00:00:00,173.25,174.26,166.85,168.96,1205300
09/04/2018 00:00:00,170.3,172.99,168.96,169.29,921800
10/04/2018 00:00:00,172.45,174.54,171.67,172.04,1133400
11/04/2018 00:00:00,170.16,172.88,169.9,171.86,715300
12/04/2018 00:00:00,173.46,175.38,173.02,173.97,803400
13/04/2018 00:00:00,175.37,175.98,171.95,172.88,604100
16/04/2018 00:00:00,174.17,175.47,173.42,173.58,665000
17/04/2018 00:00:00,174.75,175.76,173.97,174.54,1033500
18/04/2018 00:00:00,175.88,178.73,174.94,177.12,741100
19/04/2018 00:00:00,177.49,178.88,173.17,174.5,870400
20/04/2018 00:00:00,175.21,175.67,171.33,172.83,1044300
23/04/2018 00:00:00,172.98,173.27,168.9,169.21,1137400
24/04/2018 00:00:00,169.83,172.56,159.43,162.01,2514300
25/04/2018 00:00:00,157.9,169.64,155.81,167.3,2506000
26/04/2018 00:00:00,167.12,167.9,160.88,165.29,1756400
27/04/2018 00:00:00,165.65,166.75,164.15,166.29,1138500
30/04/2018 00:00:00,166.94,167.94,164.47,164.53,1210800
01/05/2018 00:00:00,164.14,167.41,163.14,167.24,1218700
02/05/2018 00:00:00,168.25,169.92,166.89,167.39,1824200
03/05/2018 00:00:00,167.12,171.24,165.84,169.95,1910600
04/05/2018 00:00:00,168.99,174.42,168.24,173.49,1220500
07/05/2018 00:00:00,174.7,174.99,172.65,174.05,962100
08/05/2018 00:00:00,173.34,175.59,173.32,175.09,950300
09/05/2018 00:00:00,176.25,178.05,175.31,177.2,730000
10/05/2018 00:00:00,176.97,178.26,176.6,178.02,711800
11/05/2018 00:00:00,177.51,178.62,176.32,177.91,1046000
14/05/2018 00:00:00,178.58,179.56,177.52,178.86,644200
15/05/2018 00:00:00,177.36,178.37,176.38,178.18,718500
16/05/2018 00:00:00,178.54,180.69,178.14,180.04,891300
17/05/2018 00:00:00,180,181.88,178.94,179.75,1136500
18/05/2018 00:00:00,180.42,182.64,180.12,182.34,821800
21/05/2018 00:00:00,183.94,185.29,183.28,183.67,758100
22/05/2018 00:00:00,183.97,184.99,180.83,181.12,922900
23/05/2018 00:00:00,179.45,181.02,178.83,180.8,866300
24/05/2018 00:00:00,180.2,181.24,176.98,178.9,937000
25/05/2018 00:00:00,177.99,178.92,177.03,178,779500
29/05/2018 00:00:00,176.57,178.83,174.85,176.42,953900
30/05/2018 00:00:00,177.27,178.9,176.66,177.98,625600
31/05/2018 00:00:00,178.09,178.65,174.66,175.41,962700
01/06/2018 00:00:00,177.3,179.02,176.16,178.6,733000
04/06/2018 00:00:00,178.71,180.43,177.02,178.08,1383600
05/06/2018 00:00:00,178.3,179.32,177.88,178.35,1297300
06/06/2018 00:00:00,178.71,178.74,176.8,178,1432700
07/06/2018 00:00:00,178.32,179.21,177.38,178.65,2217900
08/06/2018 00:00:00,178.62,178.8,176.26,178.01,845200
11/06/2018 00:00:00,178.13,180.47,177.86,178.45,1002800
12/06/2018 00:00:00,178.95,180.27,178.39,180.21,869000
13/06/2018 00:00:00,180.37,180.64,178.37,178.83,701700
14/06/2018 00:00:00,179.93,181.47,178.75,178.94,744600
15/06/2018 00:00:00,178.45,178.48,175.5,177.66,1538900
18/06/2018 00:00:00,175.91,176.43,174.87,175.47,944100
19/06/2018 00:00:00,172.78,174.13,169.68,170.26,1425300
20/06/2018 00:00:00,171.17,171.73,170.18,170.82,932100
21/06/2018 00:00:00,170.83,170.83,167.53,168.14,1037600
22/06/2018 00:00:00,169.43,169.66,167.19,167.98,908100
25/06/2018 00:00:00,167.57,167.9,164.48,165.52,1415000
26/06/2018 00:00:00,165.79,167.47,164.57,164.74,1208900
27/06/2018 00:00:00,166.06,169.06,165.2,165.22,1258800
28/06/2018 00:00:00,164.39,165.67,162.11,164.64,1333700
29/06/2018 00:00:00,165.74,168.09,165.36,166.23,1265300
02/07/2018 00:00:00,164.32,167.88,164,167.69,1145100
03/07/2018 00:00:00,169.4,170.61,166.52,167.12,2444400
05/07/2018 00:00:00,169.05,169.73,167.21,169.62,1558600
06/07/2018 00:00:00,169.22,170.17,168.6,169.24,1254400
09/07/2018 00:00:00,169.97,171.52,169.78,170.9,1646800
10/07/2018 00:00:00,171.56,171.93,170.72,171.4,1428400
11/07/2018 00:00:00,169.44,170.18,167.22,167.25,868500
12/07/2018 00:00:00,168.79,169.23,166.9,168.83,990400
13/07/2018 00:00:00,169.11,171.54,169.11,171.07,680300
16/07/2018 00:00:00,168.76,169.54,166.69,167.63,1192200
17/07/2018 00:00:00,166.92,169.46,166.92,169.3,1031700
18/07/2018 00:00:00,169.52,171.17,169.3,170.41,657200
19/07/2018 00:00:00,169.54,172.64,169.54,172.07,868400
20/07/2018 00:00:00,170.69,172.11,169.83,171.3,1034400
23/07/2018 00:00:00,170.5,171.2,167.4,167.93,1427100
24/07/2018 00:00:00,169.26,171.4,168.21,170.47,1890800
25/07/2018 00:00:00,175.55,183.7,174.68,183.46,3144100
26/07/2018 00:00:00,183.88,186.29,183.73,184.07,1524900
27/07/2018 00:00:00,184.3,185.73,182.36,184.06,1013800
30/07/2018 00:00:00,184.9,186.36,182.37,182.75,800900
31/07/2018 00:00:00,183.85,188.36,183.23,187.56,1383100
01/08/2018 00:00:00,187.08,187.09,183.34,184.39,1093300
02/08/2018 00:00:00,182.62,183.16,178.31,180.33,2549400
03/08/2018 00:00:00,181.4,181.52,178,179.48,1692100
06/08/2018 00:00:00,179.07,180.5,178.46,178.9,1118700
07/08/2018 00:00:00,180.05,182.03,179.58,181.39,1386100
08/08/2018 00:00:00,181.26,181.6,177.05,177.2,696600
09/08/2018 00:00:00,177.29,178.41,175.18,175.91,806600
10/08/2018 00:00:00,174.47,174.93,172.53,173.26,959500
13/08/2018 00:00:00,173.1,173.39,171.16,171.91,917100
14/08/2018 00:00:00,172,173.6,171.19,172.38,807400
