Date,Open,High,Low,Close,Pivot Points,VWAP,Volume ,Moving Average 20,Filename
08/01/2024 09:35:00,20.32,20.5,19.2,19.615,19.615,,338300,,TXT\exel.csv
08/01/2024 09:40:00,19.64,20.51,19.61,20.245,20.245,19.93871,162100,52705.0,TXT\exel.csv
08/01/2024 09:45:00,20.245,20.7,20.135,20.67,20.67,20.05328,149200,59590.0,TXT\exel.csv
08/01/2024 09:50:00,20.67,21.019,20.66,20.945,20.945,20.19995,152800,66800.0,TXT\exel.csv
08/01/2024 09:55:00,20.95,21.08,20.79,20.91,20.91,20.30804,138900,73270.0,TXT\exel.csv
08/01/2024 10:00:00,20.91,21.0289,20.715,20.78,20.78,20.35749,92900,77155.0,TXT\exel.csv
08/01/2024 10:05:00,20.81,21.07,20.79,21.04,21.04,20.38806,58600,79655.0,TXT\exel.csv
08/01/2024 10:10:00,21.04,21.425,21.03,21.425,21.425,20.46244,105900,84190.0,TXT\exel.csv
08/01/2024 10:15:00,21.425,21.52,21.29,21.455,21.455,20.54206,108400,88890.0,TXT\exel.csv
08/01/2024 10:20:00,21.455,21.455,21.345,21.375,21.375,20.58807,73400,91975.0,TXT\exel.csv
08/01/2024 10:25:00,21.375,21.68,21.3708,21.665,21.665,20.66425,122500,97300.0,TXT\exel.csv
08/01/2024 10:30:00,21.665,21.775,21.635,21.71,21.71,20.71745,81700,100735.0,TXT\exel.csv
08/01/2024 10:35:00,21.71,21.87,21.67,21.87,21.87,20.75102,51700,102730.0,TXT\exel.csv
08/01/2024 10:40:00,21.87,21.94,21.75,21.785,21.785,20.83424,135900,108425.0,TXT\exel.csv
08/01/2024 10:45:00,21.785,21.81,21.7,21.76,21.76,20.85214,34800,109255.0,TXT\exel.csv
08/01/2024 10:50:00,21.76,21.97,21.735,21.88,21.88,20.91275,118600,114140.0,TXT\exel.csv
08/01/2024 10:55:00,21.88,21.9,21.7606,21.7606,21.7606,20.9272,31000,114160.0,TXT\exel.csv
08/01/2024 11:00:00,21.7606,21.7606,21.695,21.695,21.695,20.94206,37000,114450.0,TXT\exel.csv
08/01/2024 11:05:00,21.695,21.695,21.565,21.565,21.565,20.95566,40200,111140.0,TXT\exel.csv
08/01/2024 11:10:00,21.565,21.63,21.512,21.525,21.525,20.96722,39800,103685.0,TXT\exel.csv
08/01/2024 11:15:00,21.525,21.605,21.525,21.6007,21.6007,20.97618,31600,88350.0,TXT\exel.csv
08/01/2024 11:20:00,21.605,21.6899,21.58,21.59,21.59,20.98796,39500,82220.0,TXT\exel.csv
08/01/2024 11:25:00,21.585,21.695,21.585,21.64,21.64,20.99977,40400,76780.0,TXT\exel.csv
08/01/2024 11:30:00,21.645,21.6825,21.545,21.565,21.565,21.01016,37900,71035.0,TXT\exel.csv
08/01/2024 11:35:00,21.565,21.615,21.555,21.6,21.6,21.01785,30200,65600.0,TXT\exel.csv
08/01/2024 11:40:00,21.6,21.66,21.5401,21.625,21.625,21.02649,33600,62635.0,TXT\exel.csv
08/01/2024 11:45:00,21.625,21.695,21.595,21.615,21.615,21.0346,31000,61255.0,TXT\exel.csv
08/01/2024 11:50:00,21.62,21.7,21.6034,21.675,21.675,21.04051,22500,57085.0,TXT\exel.csv
08/01/2024 11:55:00,21.675,21.695,21.605,21.62,21.62,21.0475,27200,53025.0,TXT\exel.csv
08/01/2024 12:00:00,21.625,21.625,21.54,21.585,21.585,21.05709,42300,51470.0,TXT\exel.csv
08/01/2024 12:05:00,21.585,21.67,21.5808,21.6,21.6,21.06819,49500,47820.0,TXT\exel.csv
08/01/2024 12:10:00,21.605,21.68,21.5401,21.5401,21.5401,21.07726,43400,45905.0,TXT\exel.csv
08/01/2024 12:15:00,21.545,21.575,21.5101,21.5325,21.5325,21.08561,45900,45615.0,TXT\exel.csv
08/01/2024 12:20:00,21.535,21.685,21.5301,21.665,21.665,21.09751,59900,41815.0,TXT\exel.csv
08/01/2024 12:25:00,21.665,21.7,21.6,21.62,21.62,21.10459,34100,41780.0,TXT\exel.csv
08/01/2024 12:30:00,21.615,21.76,21.615,21.76,21.76,21.11326,39900,37845.0,TXT\exel.csv
08/01/2024 12:35:00,21.775,21.78,21.66,21.69,21.69,21.12577,55900,39090.0,TXT\exel.csv
08/01/2024 12:40:00,21.69,21.755,21.69,21.74,21.74,21.13103,24500,38465.0,TXT\exel.csv
08/01/2024 12:45:00,21.745,21.86,21.745,21.825,21.825,21.13669,23800,37645.0,TXT\exel.csv
08/01/2024 12:50:00,21.825,21.83,21.77,21.805,21.805,21.1427,25200,36915.0,TXT\exel.csv
08/01/2024 12:55:00,21.805,21.825,21.79,21.825,21.825,21.1481,22900,36480.0,TXT\exel.csv
08/01/2024 13:00:00,21.825,21.825,21.76,21.805,21.805,21.15501,30200,36015.0,TXT\exel.csv
08/01/2024 13:05:00,21.805,21.825,21.75,21.79,21.79,21.16459,43700,36180.0,TXT\exel.csv
08/01/2024 13:10:00,21.775,21.81,21.775,21.795,21.795,21.17161,33100,35940.0,TXT\exel.csv
08/01/2024 13:15:00,21.795,21.805,21.76,21.79,21.79,21.17857,33600,36110.0,TXT\exel.csv
