Date,Open,High,Low,Close,Pivot Points,VWAP,Volume ,Moving Average 20,Filename
08/01/2024 09:35:00,12.95,13.03,12.55,12.56,12.56,,1100500,,TXT\zim.csv
08/01/2024 09:40:00,12.565,12.73,12.35,12.72,12.72,12.68276,1079300,314985.0,TXT\zim.csv
08/01/2024 09:45:00,12.72,13.255,12.6601,13.248,13.248,12.77952,1102900,362550.0,TXT\zim.csv
08/01/2024 09:50:00,13.24,13.37,12.75,12.875,12.875,12.84094,925700,405675.0,TXT\zim.csv
08/01/2024 09:55:00,12.875,13.04,12.86,12.96,12.96,12.84768,329600,417445.0,TXT\zim.csv
08/01/2024 10:00:00,12.96,13.13,12.805,12.81,12.81,12.85391,390300,427085.0,TXT\zim.csv
08/01/2024 10:05:00,12.81,12.81,12.55,12.76,12.76,12.84111,580600,439415.0,TXT\zim.csv
08/01/2024 10:10:00,12.76,12.81,12.63,12.67,12.67,12.83573,250800,430835.0,TXT\zim.csv
08/01/2024 10:15:00,12.67,12.8,12.665,12.725,12.725,12.83167,200200,414020.0,TXT\zim.csv
08/01/2024 10:20:00,12.725,12.8,12.675,12.7499,12.7499,12.82973,125600,409205.0,TXT\zim.csv
08/01/2024 10:25:00,12.7472,12.96,12.73,12.9599,12.9599,12.83043,226800,412140.0,TXT\zim.csv
08/01/2024 10:30:00,12.96,13.035,12.95,12.985,12.985,12.83603,241200,417285.0,TXT\zim.csv
08/01/2024 10:35:00,12.985,13.03,12.89,12.9301,12.9301,12.84029,235500,422825.0,TXT\zim.csv
08/01/2024 10:40:00,12.9301,12.96,12.83,12.955,12.955,12.84425,361000,433350.0,TXT\zim.csv
08/01/2024 10:45:00,12.955,13.0197,12.91,12.99,12.99,12.84755,194600,432730.0,TXT\zim.csv
08/01/2024 10:50:00,12.99,13.04,12.94,12.97,12.97,12.851,189400,435290.0,TXT\zim.csv
08/01/2024 10:55:00,12.97,13.0698,12.97,13.0249,13.0249,12.85398,145100,433490.0,TXT\zim.csv
08/01/2024 11:00:00,13.0249,13.0783,12.99,13.02,13.02,12.85629,103300,423950.0,TXT\zim.csv
08/01/2024 11:05:00,13.02,13.06,13.0,13.035,13.035,12.85851,101200,418960.0,TXT\zim.csv
08/01/2024 11:10:00,13.04,13.055,13.0,13.005,13.005,12.86035,88300,398595.0,TXT\zim.csv
08/01/2024 11:15:00,13.005,13.058,12.97,12.97,12.97,12.86215,103400,348740.0,TXT\zim.csv
08/01/2024 11:20:00,12.97,12.99,12.7785,12.7785,12.7785,12.86337,618500,325700.0,TXT\zim.csv
08/01/2024 11:25:00,12.78,12.781,12.67,12.7475,12.7475,12.85893,337400,287425.0,TXT\zim.csv
08/01/2024 11:30:00,12.7475,12.82,12.71,12.8001,12.8001,12.85789,105900,246435.0,TXT\zim.csv
08/01/2024 11:35:00,12.802,12.81,12.72,12.7388,12.7388,12.85695,96000,234755.0,TXT\zim.csv
