Date,Time,Open,High,Low,Close,Volume ,Filename
2023-08-10,17:05:00,29674.81,29679.88,29365.53,29468.96,10642,BTCUSD_m60.csv
2023-08-10,18:05:00,29468.54,29502.65,29404.61,29437.61,8970,BTCUSD_m60.csv
2023-08-10,19:05:00,29437.75,29444.54,29344.7,29390.52,6369,BTCUSD_m60.csv
2023-08-10,20:05:00,29389.96,29430.88,29303.07,29367.55,8195,BTCUSD_m60.csv
2023-08-10,21:05:00,29367.55,29441.0,29364.06,29388.21,6286,BTCUSD_m60.csv
2023-08-10,22:05:00,29388.21,29416.55,29342.32,29411.99,5683,BTCUSD_m60.csv
2023-08-10,23:05:00,29411.99,29447.53,29381.21,29404.67,3448,BTCUSD_m60.csv
2023-08-11,00:05:00,29415.58,29435.25,29354.41,29428.01,2619,BTCUSD_m60.csv
2023-08-11,01:05:00,29418.63,29448.01,29407.44,29428.54,5951,BTCUSD_m60.csv
2023-08-11,02:05:00,29427.71,29436.52,29410.13,29416.05,6185,BTCUSD_m60.csv
2023-08-11,03:05:00,29416.21,29466.77,29408.49,29444.78,5232,BTCUSD_m60.csv
2023-08-11,04:05:00,29444.74,29458.26,29401.76,29405.26,6043,BTCUSD_m60.csv
2023-08-11,05:05:00,29405.01,29406.01,29309.94,29359.82,6448,BTCUSD_m60.csv
2023-08-11,06:05:00,29358.57,29398.29,29348.17,29373.76,6774,BTCUSD_m60.csv
2023-08-11,07:05:00,29373.76,29394.36,29358.68,29359.73,4373,BTCUSD_m60.csv
2023-08-11,08:05:00,29359.73,29420.54,29334.33,29397.09,5707,BTCUSD_m60.csv
2023-08-11,09:05:00,29397.09,29445.21,29386.78,29423.48,3440,BTCUSD_m60.csv
2023-08-11,10:05:00,29422.73,29432.54,29359.35,29384.54,5769,BTCUSD_m60.csv
2023-08-11,11:05:00,29384.67,29410.46,29366.77,29373.49,6051,BTCUSD_m60.csv
2023-08-11,12:05:00,29373.49,29375.61,29334.13,29342.39,4884,BTCUSD_m60.csv
2023-08-11,13:05:00,29341.14,29388.6,29306.63,29363.05,4966,BTCUSD_m60.csv
2023-08-11,14:05:00,29362.09,29432.05,29353.71,29423.31,5645,BTCUSD_m60.csv
2023-08-11,15:05:00,29423.04,29426.62,29363.65,29396.94,7695,BTCUSD_m60.csv
2023-08-11,16:05:00,29398.02,29467.33,29376.42,29455.83,10251,BTCUSD_m60.csv
2023-08-11,17:05:00,29455.83,29533.48,29429.55,29452.71,11028,BTCUSD_m60.csv
2023-08-11,18:05:00,29451.77,29453.17,29309.81,29369.69,10232,BTCUSD_m60.csv
2023-08-11,19:05:00,29368.49,29392.98,29143.81,29308.97,8463,BTCUSD_m60.csv
2023-08-11,20:05:00,29308.83,29362.13,29281.57,29315.59,8398,BTCUSD_m60.csv
2023-08-11,21:05:00,29314.44,29345.37,29306.09,29329.74,4994,BTCUSD_m60.csv
2023-08-11,22:05:00,29329.44,29380.49,29302.44,29361.86,7374,BTCUSD_m60.csv
2023-08-11,23:05:00,29362.59,29389.7,29360.17,29382.05,3505,BTCUSD_m60.csv
2023-08-12,00:45:00,29368.45,29387.82,29360.0,29386.34,1922,BTCUSD_m60.csv
2023-08-12,02:45:00,29406.79,29420.52,29405.27,29415.79,718,BTCUSD_m60.csv
2023-08-12,03:45:00,29417.29,29437.23,29383.53,29392.5,4389,BTCUSD_m60.csv
2023-08-12,04:45:00,29392.68,29392.68,29364.95,29380.5,5089,BTCUSD_m60.csv
2023-08-12,05:45:00,29379.86,29380.78,29347.66,29349.79,4912,BTCUSD_m60.csv
2023-08-12,06:45:00,29350.79,29402.51,29349.29,29384.47,8231,BTCUSD_m60.csv
2023-08-12,07:45:00,29384.47,29393.04,29376.54,29378.79,4338,BTCUSD_m60.csv
2023-08-12,08:45:00,29377.64,29379.79,29353.93,29360.54,4410,BTCUSD_m60.csv
2023-08-12,09:45:00,29360.54,29394.38,29354.29,29381.32,9079,BTCUSD_m60.csv
2023-08-12,10:45:00,29382.21,29398.65,29371.65,29373.77,5748,BTCUSD_m60.csv
2023-08-12,11:45:00,29373.77,29395.79,29356.2,29393.12,6562,BTCUSD_m60.csv
2023-08-12,12:45:00,29393.62,29403.83,29389.01,29390.81,8252,BTCUSD_m60.csv
2023-08-12,13:45:00,29390.31,29411.51,29389.46,29397.26,4069,BTCUSD_m60.csv
2023-08-12,14:45:00,29395.03,29409.9,29392.47,29394.07,5692,BTCUSD_m60.csv
2023-08-12,15:45:00,29394.22,29410.42,29389.81,29395.01,2079,BTCUSD_m60.csv
2023-08-12,16:45:00,29394.58,29429.13,29378.49,29426.79,3430,BTCUSD_m60.csv
2023-08-12,17:45:00,29426.49,29438.54,29419.21,29432.63,4421,BTCUSD_m60.csv
2023-08-12,18:45:00,29432.13,29471.75,29418.56,29459.16,4829,BTCUSD_m60.csv
2023-08-12,19:45:00,29459.16,29460.54,29430.29,29431.54,3265,BTCUSD_m60.csv
2023-08-12,20:45:00,29431.54,29431.54,29399.27,29423.54,4540,BTCUSD_m60.csv
2023-08-12,21:45:00,29423.54,29423.66,29393.26,29398.02,3752,BTCUSD_m60.csv
2023-08-12,22:45:00,29398.0,29411.68,29389.13,29403.35,8527,BTCUSD_m60.csv
2023-08-12,23:45:00,29403.35,29403.35,29399.23,29401.59,1076,BTCUSD_m60.csv
2023-08-13,00:05:00,29351.0,29409.04,29351.0,29406.79,2549,BTCUSD_m60.csv
2023-08-13,01:05:00,29406.54,29420.57,29396.96,29404.32,3304,BTCUSD_m60.csv
2023-08-13,02:05:00,29403.9,29415.39,29401.68,29410.26,1750,BTCUSD_m60.csv
2023-08-13,03:05:00,29408.36,29434.49,29398.61,29432.66,3170,BTCUSD_m60.csv
2023-08-13,04:05:00,29432.66,29436.28,29419.38,29434.29,1822,BTCUSD_m60.csv
2023-08-13,05:05:00,29434.26,29440.29,29420.35,29426.22,2744,BTCUSD_m60.csv
2023-08-13,06:05:00,29427.3,29428.39,29377.97,29389.64,4644,BTCUSD_m60.csv
2023-08-13,07:05:00,29389.64,29391.04,29361.39,29364.69,6505,BTCUSD_m60.csv
2023-08-13,08:05:00,29363.62,29366.04,29338.55,29361.86,6977,BTCUSD_m60.csv
2023-08-13,09:05:00,29361.86,29384.54,29361.19,29383.79,4477,BTCUSD_m60.csv
2023-08-13,10:05:00,29383.79,29390.11,29374.68,29377.34,3522,BTCUSD_m60.csv
2023-08-13,11:05:00,29376.3,29391.29,29369.81,29389.38,2698,BTCUSD_m60.csv
2023-08-13,12:05:00,29389.48,29396.07,29379.27,29393.52,3189,BTCUSD_m60.csv
2023-08-13,13:05:00,29394.02,29394.92,29377.51,29379.41,2699,BTCUSD_m60.csv
2023-08-13,14:05:00,29379.59,29382.12,29351.9,29372.04,4750,BTCUSD_m60.csv
2023-08-13,15:05:00,29372.04,29377.84,29342.54,29367.53,5596,BTCUSD_m60.csv
2023-08-13,16:05:00,29367.72,29369.27,29352.69,29355.77,5632,BTCUSD_m60.csv
2023-08-13,17:05:00,29356.52,29367.45,29348.62,29356.7,5628,BTCUSD_m60.csv
2023-08-13,18:05:00,29356.7,29357.43,29329.59,29334.42,7950,BTCUSD_m60.csv
2023-08-13,19:05:00,29334.43,29335.54,29269.18,29334.46,7887,BTCUSD_m60.csv
2023-08-13,20:05:00,29333.56,29397.72,29330.89,29385.54,7596,BTCUSD_m60.csv
2023-08-13,21:05:00,29385.54,29413.2,29369.05,29408.08,4283,BTCUSD_m60.csv
2023-08-13,22:05:00,29408.38,29445.4,29398.57,29410.65,6898,BTCUSD_m60.csv
2023-08-13,23:05:00,29411.4,29418.6,29393.06,29402.29,3827,BTCUSD_m60.csv
2023-08-14,00:05:00,29406.64,29407.59,29343.03,29356.79,3398,BTCUSD_m60.csv
2023-08-14,01:05:00,29359.79,29360.78,29213.11,29297.96,8914,BTCUSD_m60.csv
2023-08-14,02:05:00,29298.82,29305.9,29255.41,29268.65,3482,BTCUSD_m60.csv
2023-08-14,03:05:00,29268.25,29296.26,29210.23,29252.48,7000,BTCUSD_m60.csv
2023-08-14,04:05:00,29251.96,29266.29,29165.48,29217.07,6719,BTCUSD_m60.csv
2023-08-14,05:05:00,29216.9,29321.34,29045.81,29312.37,11109,BTCUSD_m60.csv
2023-08-14,06:05:00,29312.37,29386.5,29301.47,29367.79,8113,BTCUSD_m60.csv
2023-08-14,07:05:00,29368.04,29407.33,29346.3,29374.31,7128,BTCUSD_m60.csv
2023-08-14,08:05:00,29374.06,29428.54,29371.78,29387.99,9385,BTCUSD_m60.csv
